case_name,ssim_3d,psnr_3d
BDMAP_O0000258,95.79159617424011,32.19538374611114
BDMAP_O0000031,96.37430310249329,32.17940662204758
BDMAP_O0000030,97.27680683135986,32.47486248682636
BDMAP_O0000029,96.72200083732605,31.678263604806304
BDMAP_O0000049,96.31955027580261,30.727218313316705
BDMAP_O0000018,95.409494638443,32.37671640967113
BDMAP_O0000019,98.32189679145813,35.8285222323146
BDMAP_O0000012,97.32373356819153,33.541805970756585
BDMAP_O0000035,96.11339569091797,30.253620603268953
BDMAP_O0000038,98.3488380908966,36.829652521129226
BDMAP_O0000011,95.4603910446167,32.16510574949315
BDMAP_O0000050,97.2773551940918,32.77259296144144
BDMAP_O0000058,95.5037772655487,32.468660766418566
BDMAP_O0000059,96.29080891609192,34.1621745364297
BDMAP_O0000014,95.23890614509583,32.13908630769248
BDMAP_O0000033,95.72336077690125,32.14929214191766
BDMAP_O0000004,96.44038081169128,32.33218124258953
BDMAP_O0000036,97.67884612083435,32.781150688115844
BDMAP_O0000259,95.6394910812378,31.98451846761256
BDMAP_O0000046,96.08095288276672,30.90710224675897
BDMAP_O0000022,97.35519289970398,33.974056482288965
BDMAP_O0000021,98.44889044761658,37.22802111998215
BDMAP_O0000016,95.59330940246582,30.686320900452774
BDMAP_O0000096,97.63734936714172,35.086447159851
BDMAP_O0000032,96.62861824035645,32.60834420663355
BDMAP_O0000028,96.99746966362,33.97072433775091
BDMAP_O0000045,90.93686938285828,28.500646121674414
BDMAP_O0000048,97.80099987983704,35.37088942730099
BDMAP_O0000023,96.25713229179382,32.77732584462787
BDMAP_O0000037,94.93597149848938,31.43990073087528
BDMAP_O0000006,95.32855153083801,30.693171850641686
BDMAP_O0000034,96.47237658500671,31.505106195489482
BDMAP_O0000460,95.50954699516296,31.509568576764096
BDMAP_O0000020,94.41213011741638,31.614285470797544
BDMAP_O0000017,96.70264720916748,31.47574943256324
BDMAP_O0000010,95.68492770195007,31.102768823540906
BDMAP_O0000064,97.41742014884949,31.483501044188714
BDMAP_O0000464,95.02003788948059,30.211214845025417
BDMAP_O0000003,95.89686393737793,30.86873750149271
BDMAP_O0000005,95.60287594795227,31.67513740472739
BDMAP_O0000065,97.21407890319824,31.03172745821275
BDMAP_O0000041,96.1588442325592,32.11142404837254
BDMAP_O0000047,84.75162982940674,19.213330649725997
BDMAP_O0000039,94.91174221038818,30.422389586662547
BDMAP_O0000458,95.7668125629425,30.55435323935003
BDMAP_O0000055,96.6275691986084,33.00140952206345
BDMAP_O0000043,95.43299674987793,30.917910882638616
BDMAP_O0000457,95.88471055030823,30.496735277245193
BDMAP_O0000054,95.47532200813293,31.304505933098422
BDMAP_O0000008,95.28584480285645,30.854347568372734
BDMAP_O0000465,95.92947959899902,31.124722924713353
BDMAP_O0000044,92.59956479072571,27.834992638778544
BDMAP_O0000007,95.91510891914368,32.64006231535863
BDMAP_O0000009,95.70715427398682,31.82113390271833
BDMAP_O0000461,95.71474194526672,31.77902891761232
BDMAP_O0000164,95.18845677375793,30.304532534822165
BDMAP_O0000463,95.47348022460938,33.298038949639746
BDMAP_O0000001,95.1145887374878,30.43392798591816
BDMAP_O0000462,94.92747187614441,32.1610588261943
BDMAP_O0000165,94.91374492645264,30.390156098198172
BDMAP_O0000002,95.31158804893494,31.038891608295796
