case_name,ssim_3d,psnr_3d
BDMAP_O0000058,84.2315137386322,25.513400037118434
BDMAP_O0000059,84.4775378704071,24.655821556624915
BDMAP_O0000259,80.73117733001709,24.105850728829026
BDMAP_O0000258,86.32708191871643,26.911606955785643
BDMAP_O0000016,81.58573508262634,24.142815458372624
BDMAP_O0000029,84.95041728019714,24.89618192690269
BDMAP_O0000049,79.96230721473694,25.14269908768714
BDMAP_O0000021,78.54356169700623,24.41111043661956
BDMAP_O0000003,84.05600190162659,24.641176992628427
BDMAP_O0000023,80.81805109977722,24.386670642106512
BDMAP_O0000096,82.91097283363342,24.299427573393384
BDMAP_O0000018,86.25969290733337,26.843627417874263
BDMAP_O0000019,80.92600703239441,24.525301085171833
BDMAP_O0000046,81.4263641834259,23.12067560062019
BDMAP_O0000022,79.07450199127197,23.401746661361273
BDMAP_O0000012,78.9546012878418,23.839835677422716
BDMAP_O0000038,80.3720474243164,24.076282970613768
BDMAP_O0000048,75.7288932800293,23.602992935265746
BDMAP_O0000050,78.533935546875,24.196136239909304
BDMAP_O0000014,85.52572131156921,26.282676654189597
BDMAP_O0000033,77.55768299102783,23.123842615989236
BDMAP_O0000004,77.89924740791321,23.325647130776986
BDMAP_O0000043,82.9753577709198,23.854337974584613
BDMAP_O0000045,79.57156300544739,23.408833119516558
BDMAP_O0000005,79.71914410591125,23.279565672395442
BDMAP_O0000037,85.06401181221008,25.76728829592641
BDMAP_O0000039,84.34431552886963,24.83576138763337
BDMAP_O0000465,82.6188862323761,23.881021001279038
BDMAP_O0000460,82.81789422035217,23.922246818171683
BDMAP_O0000044,78.9781391620636,22.382430313509598
BDMAP_O0000020,78.69255542755127,22.861118435933633
BDMAP_O0000047,75.18923282623291,18.679494536065626
BDMAP_O0000008,87.26094365119934,25.16702871997735
BDMAP_O0000461,81.51388764381409,23.110446700185477
BDMAP_O0000001,79.9502432346344,23.003006603071885
BDMAP_O0000002,78.9886474609375,22.86188252922013
