case_name,ssim_3d,psnr_3d
BDMAP_O0000059,96.48668169975281,34.36441586710327
BDMAP_O0000021,98.44041466712952,36.549434019738605
BDMAP_O0000258,95.9620475769043,32.25446887781732
BDMAP_O0000016,95.6683874130249,30.546899408074317
BDMAP_O0000003,95.70767283439636,30.998832418442042
BDMAP_O0000031,96.15445137023926,32.10533138238222
BDMAP_O0000036,97.54601120948792,32.70236894931259
BDMAP_O0000023,96.27664685249329,32.756758130776824
BDMAP_O0000064,97.63980507850647,31.750734445275288
BDMAP_O0000019,98.23794364929199,35.38616676771567
BDMAP_O0000022,97.50731587409973,34.01071001060482
BDMAP_O0000046,96.18493914604187,31.13373584348786
BDMAP_O0000259,95.80290913581848,32.213894076458814
BDMAP_O0000014,95.23209929466248,32.09717429322258
BDMAP_O0000058,95.63658833503723,32.94892529584114
BDMAP_O0000004,96.38442993164062,31.990421341451043
BDMAP_O0000010,95.41024565696716,31.07723404837426
BDMAP_O0000011,95.43787837028503,32.23895983733347
BDMAP_O0000012,97.2033441066742,32.79447489649469
BDMAP_O0000041,96.38751149177551,32.308195445369
BDMAP_O0000096,97.771555185318,35.27556360724061
BDMAP_O0000065,96.92656397819519,30.924682555461246
BDMAP_O0000028,96.89174294471741,33.88141047005612
BDMAP_O0000033,95.82843780517578,32.24887270402984
BDMAP_O0000006,95.25196552276611,30.576597889726045
BDMAP_O0000164,95.09913921356201,30.09779615150563
BDMAP_O0000018,95.56862711906433,32.39177232861013
BDMAP_O0000032,96.8187153339386,32.95308048490185
BDMAP_O0000048,97.72620797157288,35.225715145729
BDMAP_O0000034,96.44474387168884,31.98555877503342
BDMAP_O0000029,96.83133959770203,31.789496147102415
BDMAP_O0000037,94.88388895988464,31.462191977184034
BDMAP_O0000050,97.26528525352478,32.61183582400349
BDMAP_O0000049,96.45430445671082,31.063383646639732
BDMAP_O0000460,95.93692421913147,31.354192324386595
BDMAP_O0000038,98.3636200428009,36.9666354503081
BDMAP_O0000465,95.88947892189026,30.99050088094774
BDMAP_O0000030,97.26060032844543,32.46517944960334
BDMAP_O0000009,95.33842206001282,31.07136895553083
BDMAP_O0000458,95.32637596130371,30.552541547031282
BDMAP_O0000043,95.66652178764343,31.068667235984538
BDMAP_O0000457,95.68231701850891,30.580194323445223
BDMAP_O0000020,94.24592852592468,31.535374871322183
BDMAP_O0000035,96.26539349555969,30.281798059789892
BDMAP_O0000017,96.56382203102112,31.186655758982717
BDMAP_O0000039,94.93102431297302,30.521944729375164
BDMAP_O0000055,96.92789912223816,33.405859156649
BDMAP_O0000054,95.78303694725037,31.489766147910977
BDMAP_O0000044,92.97511577606201,27.84594862144384
BDMAP_O0000008,95.08234858512878,30.333498223401424
BDMAP_O0000005,95.63791155815125,31.538418480794693
BDMAP_O0000047,81.54153227806091,19.167900891628133
BDMAP_O0000165,95.07982134819031,30.51226428018268
BDMAP_O0000045,91.51155948638916,28.977940025214032
BDMAP_O0000464,95.5472469329834,30.577485562931095
BDMAP_O0000463,95.77382206916809,34.01676786112033
BDMAP_O0000461,95.58529257774353,31.49355355488347
BDMAP_O0000002,94.85568404197693,30.119388139076186
BDMAP_O0000462,94.80549693107605,31.860340841322454
BDMAP_O0000007,95.79623341560364,32.4673874060603
BDMAP_O0000001,94.86966133117676,29.967051410587857
