case_name,ssim_3d,psnr_3d
BDMAP_O0000064,93.1295394897461,25.67175245485607
BDMAP_O0000032,87.82140612602234,23.448640384727916
BDMAP_O0000065,89.39094543457031,24.589969979910528
BDMAP_O0000036,95.59929370880127,28.94061128881757
BDMAP_O0000031,93.84953379631042,28.404491709918815
BDMAP_O0000016,88.90101909637451,24.622297610134048
BDMAP_O0000034,88.92180323600769,24.54577335923645
BDMAP_O0000096,90.01535773277283,24.788337595141947
BDMAP_O0000018,94.06077861785889,29.361721732511757
BDMAP_O0000019,96.06785774230957,31.182278017949614
BDMAP_O0000010,82.56173133850098,21.98067511717968
BDMAP_O0000049,95.34257054328918,29.794636104401597
BDMAP_O0000022,94.9984073638916,29.33616558015959
BDMAP_O0000017,89.03881907463074,24.70032386932532
BDMAP_O0000038,95.856112241745,31.701311901306397
BDMAP_O0000035,92.3757553100586,26.731693946444377
BDMAP_O0000258,92.16062426567078,26.48007130653971
BDMAP_O0000021,96.93820476531982,32.45593547868555
BDMAP_O0000023,86.64886355400085,24.234867474405796
BDMAP_O0000029,83.59232544898987,22.37815249954306
BDMAP_O0000058,93.15023422241211,30.185342911336296
BDMAP_O0000030,96.17125988006592,30.488406487434965
BDMAP_O0000048,95.90898156166077,31.89093069993335
BDMAP_O0000012,95.36699652671814,30.379396797769182
BDMAP_O0000033,90.27292132377625,25.985343026084067
BDMAP_O0000164,93.97518038749695,29.031224523015744
BDMAP_O0000046,92.16731190681458,26.49075230997933
BDMAP_O0000055,95.04372477531433,29.797078241376337
BDMAP_O0000004,92.96662211418152,27.78940799416891
BDMAP_O0000028,94.6414053440094,30.63716558517738
BDMAP_O0000050,95.3456699848175,30.49401061657874
BDMAP_O0000011,92.6867663860321,28.166326070179956
BDMAP_O0000259,94.4145143032074,28.940724589755433
BDMAP_O0000014,93.74567866325378,29.818168032861717
BDMAP_O0000037,93.88157725334167,30.20190028798984
BDMAP_O0000043,94.66764330863953,29.94172006887517
BDMAP_O0000458,94.26787495613098,28.791450120746024
BDMAP_O0000464,94.21032071113586,29.3552835123596
BDMAP_O0000003,95.13373374938965,30.331053072201144
BDMAP_O0000045,90.54930806159973,28.15942533649199
BDMAP_O0000059,93.24122071266174,27.60829135050492
BDMAP_O0000006,94.17558312416077,29.185375527977673
BDMAP_O0000041,94.08705830574036,29.2404558872151
BDMAP_O0000044,93.08554530143738,27.93878767089694
BDMAP_O0000005,93.18444728851318,28.488892501039054
BDMAP_O0000054,94.38255429267883,29.882840194117076
BDMAP_O0000008,94.91500854492188,29.923144253132023
BDMAP_O0000009,92.25499033927917,27.317003306999787
BDMAP_O0000460,94.08342242240906,29.44617431080723
BDMAP_O0000007,94.56635117530823,30.345268456727755
BDMAP_O0000039,92.7440345287323,28.09954647570614
BDMAP_O0000047,86.67711615562439,18.439880870794706
BDMAP_O0000457,94.3247377872467,28.728038997974807
BDMAP_O0000463,93.87364387512207,30.622650244015833
BDMAP_O0000465,94.47646141052246,29.752126909606464
BDMAP_O0000020,93.0011510848999,30.223617100342977
BDMAP_O0000001,93.96994113922119,28.728115370322005
BDMAP_O0000002,94.0916359424591,29.426165061497457
BDMAP_O0000461,93.42014789581299,28.932871582380393
BDMAP_O0000462,92.34007000923157,28.385501614452192
BDMAP_O0000165,93.86356472969055,29.295259130886073
