case_name,ssim_3d,psnr_3d
BDMAP_O0000059,96.22069001197815,33.9130591135693
BDMAP_O0000065,97.06365466117859,30.78264946198832
BDMAP_O0000259,95.64406275749207,32.13482422212598
BDMAP_O0000030,97.21158146858215,32.48444065964066
BDMAP_O0000034,96.20721936225891,31.476098128411284
BDMAP_O0000049,96.45184874534607,30.92991549044481
BDMAP_O0000016,95.5528974533081,30.45482158592829
BDMAP_O0000029,96.87280058860779,31.81238246015324
BDMAP_O0000096,97.86044955253601,35.562409530540265
BDMAP_O0000023,96.23921513557434,32.6920420354671
BDMAP_O0000018,95.59308886528015,32.38379169290183
BDMAP_O0000012,96.99499011039734,32.719325259476406
BDMAP_O0000036,97.64546751976013,32.88802536307821
BDMAP_O0000058,95.40321230888367,32.65733089483784
BDMAP_O0000011,95.48274874687195,32.148079782368896
BDMAP_O0000050,97.22793698310852,32.581584390693415
BDMAP_O0000028,97.0508873462677,34.08819318570232
BDMAP_O0000033,95.84566950798035,32.31943293549731
BDMAP_O0000017,96.69942259788513,31.496143485702028
BDMAP_O0000043,95.65496444702148,31.104486955889943
BDMAP_O0000022,97.48631119728088,33.99727043212645
BDMAP_O0000031,96.67862057685852,32.751887019363956
BDMAP_O0000010,95.51284909248352,31.048600876031045
BDMAP_O0000004,95.30818462371826,31.143095951483318
BDMAP_O0000003,95.862478017807,31.323659617982504
BDMAP_O0000041,95.98439335823059,31.802505927628584
BDMAP_O0000006,95.20611763000488,30.36494966974876
BDMAP_O0000046,96.04989886283875,31.021423199022877
BDMAP_O0000064,97.33375906944275,31.304767274832308
BDMAP_O0000258,95.85685729980469,32.10568342128386
BDMAP_O0000005,95.42812705039978,31.516108814092483
BDMAP_O0000035,96.12035751342773,30.320086308216595
BDMAP_O0000037,94.45220828056335,31.0269800310379
BDMAP_O0000021,98.27344417572021,35.905186886998806
BDMAP_O0000032,96.99993133544922,33.4971551835635
BDMAP_O0000039,95.02572417259216,30.79133230032404
BDMAP_O0000019,98.24649691581726,35.48773771691461
BDMAP_O0000048,97.94313311576843,36.046729287099375
BDMAP_O0000055,96.9461977481842,33.20481616140074
BDMAP_O0000014,95.22430896759033,32.09852414807234
BDMAP_O0000458,96.09912037849426,30.754847720375427
BDMAP_O0000464,95.284104347229,30.297363725093042
BDMAP_O0000009,95.38708329200745,31.31600108499864
BDMAP_O0000020,94.20560002326965,31.587538037469095
BDMAP_O0000044,92.87227988243103,28.012595700272854
BDMAP_O0000047,83.13416838645935,19.188317184286984
BDMAP_O0000038,98.40903282165527,36.96463443736374
BDMAP_O0000460,95.94562649726868,31.771981254780073
BDMAP_O0000457,95.916748046875,30.648830138150267
BDMAP_O0000164,95.36308646202087,30.411924915819384
BDMAP_O0000465,96.01249694824219,31.61699232125971
BDMAP_O0000045,91.21286273002625,28.711868293306754
BDMAP_O0000008,95.27535438537598,30.31243355907585
BDMAP_O0000054,95.75111865997314,31.534555723159986
BDMAP_O0000165,94.39166188240051,29.776923203677292
BDMAP_O0000007,95.78621983528137,32.44330778329201
BDMAP_O0000001,94.99394297599792,29.97330973597206
BDMAP_O0000463,95.71821093559265,33.883550149092535
BDMAP_O0000002,94.77899670600891,30.09003344520892
BDMAP_O0000461,95.44737935066223,31.569738881207012
BDMAP_O0000462,94.59947943687439,31.933473508856164
