case_name,ssim_3d,psnr_3d
BDMAP_O0000059,93.06290745735168,30.410341232930215
BDMAP_O0000058,93.15571784973145,31.18280020149871
BDMAP_O0000259,91.49806499481201,29.1652183981385
BDMAP_O0000258,93.98316740989685,31.129323683106275
BDMAP_O0000021,94.44548487663269,31.551967925194077
BDMAP_O0000029,94.85496878623962,30.085442132430813
BDMAP_O0000016,92.71071553230286,29.003172527291
BDMAP_O0000003,93.85268092155457,29.215671200830286
BDMAP_O0000096,94.75032687187195,31.154310639975122
BDMAP_O0000018,89.67844843864441,31.834788926581126
BDMAP_O0000023,93.9670741558075,30.78387463261987
BDMAP_O0000019,93.39098334312439,29.08948477854772
BDMAP_O0000046,91.8294370174408,28.33170732325175
BDMAP_O0000012,93.7797486782074,31.07246171771463
BDMAP_O0000022,93.78690719604492,30.660700122417083
BDMAP_O0000048,91.37070178985596,28.87479424808445
BDMAP_O0000049,89.85893726348877,26.694092541926704
BDMAP_O0000038,92.59695410728455,30.367148553095266
BDMAP_O0000014,90.70000052452087,31.59195206610341
BDMAP_O0000033,91.14627242088318,29.363917208150884
BDMAP_O0000004,91.65533185005188,30.317024615602335
BDMAP_O0000050,91.44756197929382,28.579458232696517
BDMAP_O0000043,91.42133593559265,29.053201669791665
BDMAP_O0000039,92.95194149017334,29.199657397867433
BDMAP_O0000045,89.09695148468018,28.252977856490222
BDMAP_O0000005,91.28753542900085,29.709106556098792
BDMAP_O0000037,93.1575059890747,30.674357751780743
BDMAP_O0000044,87.83438801765442,26.202518180340682
BDMAP_O0000020,90.8367395401001,29.78258245071887
BDMAP_O0000465,92.18623638153076,29.538180625210728
BDMAP_O0000047,70.01699805259705,19.096595972015233
BDMAP_O0000460,92.22446084022522,30.2767896606446
BDMAP_O0000008,92.94495582580566,28.47940831617371
BDMAP_O0000001,91.48724675178528,29.966723888907634
BDMAP_O0000461,92.1513020992279,29.83357867578928
BDMAP_O0000002,90.40775299072266,29.30693471981585
