case_name,ssim_3d,psnr_3d
BDMAP_O0000058,92.91830062866211,30.474340917553437
BDMAP_O0000064,96.0098922252655,29.81503427992148
BDMAP_O0000032,93.53733658790588,29.754146707493856
BDMAP_O0000028,95.55661678314209,32.19006646131096
BDMAP_O0000258,93.97650361061096,30.451419847814417
BDMAP_O0000036,96.60794138908386,31.031132598578992
BDMAP_O0000031,94.99497413635254,30.747707902713344
BDMAP_O0000065,95.62665820121765,29.326368664794785
BDMAP_O0000021,97.14835286140442,33.97610074027727
BDMAP_O0000003,93.73252987861633,29.267182453393346
BDMAP_O0000018,94.19806599617004,31.203941626639452
BDMAP_O0000019,96.80156111717224,33.24064527047853
BDMAP_O0000010,93.64292025566101,29.429976827293295
BDMAP_O0000259,94.20948028564453,30.547127340786687
BDMAP_O0000046,94.37332153320312,29.32277428669506
BDMAP_O0000012,95.27287483215332,30.914877834349475
BDMAP_O0000022,95.80397605895996,31.880621616311494
BDMAP_O0000048,96.15270495414734,33.339465882938406
BDMAP_O0000017,95.03018260002136,29.658368259068727
BDMAP_O0000035,94.33314204216003,28.76864081601838
BDMAP_O0000038,96.85993194580078,33.4996940597232
BDMAP_O0000049,95.39403319358826,29.51886726720453
BDMAP_O0000034,94.53341364860535,29.819493953639068
BDMAP_O0000014,93.7463104724884,30.976021114575403
BDMAP_O0000004,93.19184422492981,29.444738482828107
BDMAP_O0000041,94.22178864479065,30.588040423254487
BDMAP_O0000029,94.88759636878967,29.661736558721117
BDMAP_O0000033,92.36616492271423,29.227037958244047
BDMAP_O0000023,94.38760876655579,30.95248419278786
BDMAP_O0000164,91.07185006141663,27.844485949822776
BDMAP_O0000030,95.36159038543701,29.780972532448025
BDMAP_O0000050,96.02072238922119,31.182289488401004
BDMAP_O0000009,93.45377087593079,29.630415371025176
BDMAP_O0000059,94.10011172294617,31.550653007171874
BDMAP_O0000011,93.83204579353333,30.811503744919513
BDMAP_O0000055,93.7418520450592,30.288474551667996
BDMAP_O0000043,92.52305030822754,28.50473762607404
BDMAP_O0000096,96.35577201843262,33.29511718972964
BDMAP_O0000045,88.33255171775818,27.04618185322721
BDMAP_O0000006,93.0532455444336,28.966498863919977
BDMAP_O0000016,93.70566010475159,29.043105545336747
BDMAP_O0000039,93.00281405448914,29.03264627271904
BDMAP_O0000457,92.9242193698883,28.38973658685341
BDMAP_O0000465,92.8462564945221,28.831174112544605
BDMAP_O0000007,94.03169751167297,30.75078113652343
BDMAP_O0000037,92.979496717453,29.866434727013118
BDMAP_O0000044,90.58744311332703,26.61784835325191
BDMAP_O0000020,92.01847910881042,29.58751997130305
BDMAP_O0000005,93.26794147491455,29.574461090927468
BDMAP_O0000458,92.72284507751465,28.486077054460264
BDMAP_O0000464,91.32862091064453,27.678268469852895
BDMAP_O0000460,93.55596899986267,29.684213975592648
BDMAP_O0000047,78.52847576141357,19.453774884989677
BDMAP_O0000008,93.64745020866394,28.94760405954805
BDMAP_O0000054,91.2453830242157,28.19131954387748
BDMAP_O0000165,92.02671647071838,28.266074915137406
BDMAP_O0000461,92.63796210289001,29.26513943621398
BDMAP_O0000001,91.75650477409363,27.734584612386403
BDMAP_O0000463,93.65785717964172,31.454900854913838
BDMAP_O0000462,92.49525666236877,29.731629209107414
BDMAP_O0000002,91.55974388122559,28.094179528219026
