case_name,ssim_3d,psnr_3d
BDMAP_O0000059,94.68693137168884,31.88123603488374
BDMAP_O0000058,95.26572227478027,33.24333001730174
BDMAP_O0000259,94.34394836425781,30.22898586037247
BDMAP_O0000021,96.62219882011414,33.07377517874895
BDMAP_O0000029,96.15785479545593,31.19733717197157
BDMAP_O0000258,95.81058621406555,32.11564535608445
BDMAP_O0000003,95.33470273017883,30.194020169811022
BDMAP_O0000016,94.77779865264893,30.245205045014764
BDMAP_O0000096,96.16319537162781,32.98106255571115
BDMAP_O0000023,95.63668370246887,31.549430345622973
BDMAP_O0000018,92.50860810279846,31.343481045407664
BDMAP_O0000019,95.92062830924988,30.965589568639253
BDMAP_O0000046,94.26777362823486,29.94580081115184
BDMAP_O0000012,95.8167016506195,33.17021996925421
BDMAP_O0000022,95.68888545036316,32.45873456008385
BDMAP_O0000038,95.50271034240723,32.95959992272293
BDMAP_O0000048,94.35833096504211,31.594158191556833
BDMAP_O0000049,93.15291047096252,28.91457188412488
BDMAP_O0000014,94.16870474815369,32.15947554619282
BDMAP_O0000033,93.84196400642395,31.080358687372733
BDMAP_O0000004,95.14572024345398,32.69650528910928
BDMAP_O0000050,93.87418627738953,31.001779704421395
BDMAP_O0000043,94.51902508735657,30.456316955321533
BDMAP_O0000039,95.23311257362366,32.001883270156235
BDMAP_O0000045,90.25346636772156,28.70769364418047
BDMAP_O0000005,93.52079033851624,31.1413930827555
BDMAP_O0000037,95.01466155052185,32.735871771711714
BDMAP_O0000044,90.74005484580994,26.886243115067813
BDMAP_O0000020,93.0612862110138,31.26511355048265
BDMAP_O0000047,76.19216442108154,19.688486836132782
BDMAP_O0000465,94.31801438331604,30.86169326342327
BDMAP_O0000460,94.7557270526886,32.2610673137781
BDMAP_O0000008,95.19054889678955,31.132953369900108
BDMAP_O0000001,93.51201057434082,31.00228363835398
BDMAP_O0000461,93.9654529094696,31.08916232591183
BDMAP_O0000002,92.42526888847351,30.338427648458506
