case_name,ssim_3d,psnr_3d
BDMAP_O0000059,91.87403321266174,30.634327516445133
BDMAP_O0000259,92.620187997818,29.92557773327334
BDMAP_O0000065,95.2049970626831,29.508259347010906
BDMAP_O0000030,93.44452023506165,29.328515065848897
BDMAP_O0000016,92.4617350101471,28.760004934721728
BDMAP_O0000049,94.55556869506836,29.390361271063703
BDMAP_O0000096,94.3658173084259,32.07262595515739
BDMAP_O0000029,94.179767370224,29.57858601523736
BDMAP_O0000034,93.2391107082367,29.17730302603179
BDMAP_O0000018,93.94978880882263,31.515048093144355
BDMAP_O0000023,94.15684342384338,31.220966517998967
BDMAP_O0000012,93.91055703163147,30.382190847142905
BDMAP_O0000031,94.0805733203888,30.4611560003522
BDMAP_O0000003,93.27855706214905,29.238396460641916
BDMAP_O0000028,95.01795172691345,32.168356719586505
BDMAP_O0000050,95.47803401947021,31.14102441106864
BDMAP_O0000011,93.3248221874237,30.820365872015344
BDMAP_O0000058,90.14760851860046,29.47554108632702
BDMAP_O0000033,91.12527966499329,28.954367533663365
BDMAP_O0000046,93.93362402915955,29.621469131162552
BDMAP_O0000010,92.44410395622253,29.232648948283
BDMAP_O0000043,91.53868556022644,28.5318476604444
BDMAP_O0000036,96.12066149711609,31.07934085605546
BDMAP_O0000022,94.53943371772766,31.059972861495954
BDMAP_O0000006,91.95407032966614,28.79055087886144
BDMAP_O0000032,91.77325367927551,29.136113321421107
BDMAP_O0000017,94.30241584777832,29.350334979453585
BDMAP_O0000258,92.79339909553528,30.224205455439588
BDMAP_O0000064,94.36265826225281,29.512343171971303
BDMAP_O0000021,95.89710831642151,33.21316348614849
BDMAP_O0000039,91.72247052192688,28.793490757869904
BDMAP_O0000038,94.63970065116882,31.638659653805746
BDMAP_O0000037,91.83733463287354,29.479928616504143
BDMAP_O0000004,91.05917811393738,29.261462878754266
BDMAP_O0000005,92.01096892356873,29.381278707390717
BDMAP_O0000041,92.00775027275085,29.599641302162212
BDMAP_O0000019,95.57057023048401,32.786748817906485
BDMAP_O0000009,92.15444922447205,29.409033271037003
BDMAP_O0000055,91.28391742706299,29.057594180959185
BDMAP_O0000458,90.42988419532776,27.924242147735914
BDMAP_O0000014,93.29707026481628,31.028607156661316
BDMAP_O0000464,89.97171521186829,27.487188998588618
BDMAP_O0000048,95.35274505615234,32.818869767636095
BDMAP_O0000035,93.97440552711487,28.76286806029032
BDMAP_O0000044,88.9452874660492,26.339522794871407
BDMAP_O0000020,90.99788069725037,29.37228851474181
BDMAP_O0000460,92.28984713554382,29.538741968315144
BDMAP_O0000457,90.422123670578,27.89201282190532
BDMAP_O0000047,76.85866951942444,18.73052660935273
BDMAP_O0000045,86.5982711315155,26.864939864756945
BDMAP_O0000164,88.46740126609802,27.32008734288021
BDMAP_O0000465,89.95720744132996,27.878910128368748
BDMAP_O0000008,93.54908466339111,29.3562419583802
BDMAP_O0000165,89.55959677696228,27.546935282857135
BDMAP_O0000054,89.69394564628601,27.942080393273944
BDMAP_O0000007,93.64469051361084,30.842599509331908
BDMAP_O0000001,90.01529216766357,27.637195209181318
BDMAP_O0000463,92.8292453289032,31.016029984928473
BDMAP_O0000002,90.60500264167786,28.182381988970214
BDMAP_O0000461,91.84954166412354,29.31507410987765
BDMAP_O0000462,91.57244563102722,29.703904682555304
