case_name,ssim_3d,psnr_3d
BDMAP_O0000058,85.01917719841003,25.00061436958918
BDMAP_O0000059,85.66598892211914,25.10190385662745
BDMAP_O0000064,84.40739512443542,25.436653749742234
BDMAP_O0000028,85.4848861694336,26.408467300929416
BDMAP_O0000021,83.38722586631775,25.615473729469237
BDMAP_O0000032,80.01076579093933,23.113342981696725
BDMAP_O0000031,83.78213047981262,25.525568069163832
BDMAP_O0000036,87.28041052818298,26.241122677813372
BDMAP_O0000258,83.616703748703,25.703984865791032
BDMAP_O0000003,81.35020732879639,24.603303444917316
BDMAP_O0000016,80.58757185935974,24.223031825192763
BDMAP_O0000010,78.88091206550598,22.694536443588106
BDMAP_O0000019,84.68007445335388,25.567083146934788
BDMAP_O0000046,85.0038230419159,24.479519003437474
BDMAP_O0000017,84.89304184913635,25.080604728220113
BDMAP_O0000030,84.06032919883728,24.790115645036654
BDMAP_O0000048,81.45225048065186,24.96193180580908
BDMAP_O0000096,83.82886052131653,24.515136998587973
BDMAP_O0000022,79.43827509880066,23.45377988664562
BDMAP_O0000035,82.68983960151672,23.794044759327736
BDMAP_O0000014,89.01156783103943,27.642086753036182
BDMAP_O0000038,84.78235602378845,24.735528140561208
BDMAP_O0000029,84.22325253486633,25.00921589461136
BDMAP_O0000041,86.30178570747375,25.368701893240196
BDMAP_O0000004,80.17127513885498,22.85048792988527
BDMAP_O0000023,81.7939043045044,24.587434398107483
BDMAP_O0000164,78.31344604492188,22.672812688281184
BDMAP_O0000049,86.41290068626404,25.154648260752555
BDMAP_O0000259,82.9552412033081,25.650758190848787
BDMAP_O0000009,82.40707516670227,24.237874274865625
BDMAP_O0000034,81.94958567619324,24.30493314598661
BDMAP_O0000055,78.92348766326904,22.868173951035928
BDMAP_O0000011,85.3545606136322,26.10331183798958
BDMAP_O0000050,85.98607182502747,25.089760781603466
BDMAP_O0000065,86.81382536888123,25.78253688919979
BDMAP_O0000018,90.21523594856262,28.175706358727346
BDMAP_O0000045,76.1328399181366,22.579771384421615
BDMAP_O0000005,79.90202903747559,22.791590856907852
BDMAP_O0000457,82.56842494010925,22.761363365289846
BDMAP_O0000043,82.71144032478333,23.462414001931194
BDMAP_O0000033,76.62951350212097,22.703966469445387
BDMAP_O0000037,83.97253155708313,25.260525673512642
BDMAP_O0000012,81.49094581604004,23.83353371373694
BDMAP_O0000006,83.47411155700684,24.97857892831337
BDMAP_O0000464,79.77302670478821,22.381546781404555
BDMAP_O0000039,82.72601962089539,24.061657039359588
BDMAP_O0000465,81.74143433570862,22.95647718408805
BDMAP_O0000007,83.46248269081116,24.389028493475607
BDMAP_O0000458,81.82628750801086,23.170720352073676
BDMAP_O0000047,81.03642463684082,19.073886601520716
BDMAP_O0000044,81.63878321647644,23.911959220162274
BDMAP_O0000460,82.0811927318573,23.616165036602162
BDMAP_O0000020,76.96065306663513,22.45751800155224
BDMAP_O0000054,77.10939049720764,21.99453497814817
BDMAP_O0000008,87.00175881385803,25.649322326876323
BDMAP_O0000165,80.033278465271,23.367650076071243
BDMAP_O0000463,81.96420073509216,23.443904016327547
BDMAP_O0000461,82.87803530693054,23.856271107214138
BDMAP_O0000001,79.31039333343506,22.85419948040846
BDMAP_O0000002,79.87286448478699,22.654944754846255
BDMAP_O0000462,82.57061839103699,23.05919722912722
