case_name,ssim_3d,psnr_3d
BDMAP_O0000058,80.18952012062073,22.876693297662353
BDMAP_O0000021,74.29153323173523,22.971391949973345
BDMAP_O0000016,77.34238505363464,22.394408809450344
BDMAP_O0000049,74.23443794250488,21.227273364217048
BDMAP_O0000059,77.45686173439026,22.305752192860577
BDMAP_O0000029,81.95913434028625,23.128100961482954
BDMAP_O0000258,79.38316464424133,23.23829231351814
BDMAP_O0000003,78.09240221977234,21.87485567421581
BDMAP_O0000096,78.98642420768738,22.823608613562854
BDMAP_O0000023,77.97295451164246,23.079294090427563
BDMAP_O0000019,74.84638690948486,22.643917442369663
BDMAP_O0000046,76.71915888786316,21.431394631318128
BDMAP_O0000048,69.03405785560608,21.11265508102783
BDMAP_O0000022,73.8641083240509,21.48541499266264
BDMAP_O0000259,77.47419476509094,22.238967985082017
BDMAP_O0000038,75.8511483669281,21.99214305781849
BDMAP_O0000050,72.85974025726318,21.709393396893574
BDMAP_O0000033,70.21824717521667,19.710943356189073
BDMAP_O0000014,80.27964234352112,23.39303508565345
BDMAP_O0000018,81.06712698936462,24.642011909845202
BDMAP_O0000004,73.48833084106445,21.025507794671526
BDMAP_O0000012,67.49168038368225,19.686296513117355
BDMAP_O0000043,81.9118320941925,22.7246869294246
BDMAP_O0000037,79.79891896247864,22.45666575202023
BDMAP_O0000045,73.10916781425476,20.2039279700087
BDMAP_O0000039,80.51881194114685,22.17154361306698
BDMAP_O0000005,72.6091206073761,19.717317538121417
BDMAP_O0000044,74.6417224407196,21.161390429114316
BDMAP_O0000460,76.66893005371094,20.059114884571507
BDMAP_O0000020,74.1954505443573,20.609379642701825
BDMAP_O0000465,59.33961868286133,18.272895298971193
BDMAP_O0000047,73.55400919914246,18.08144194595535
BDMAP_O0000008,83.8132381439209,23.077484868874283
BDMAP_O0000001,74.51958060264587,20.42311331793508
BDMAP_O0000461,79.7741174697876,22.197945025840347
BDMAP_O0000002,68.99495124816895,20.441558430182045
