case_name,ssim_3d,psnr_3d
BDMAP_O0000259,92.75599122047424,30.036063477496274
BDMAP_O0000030,94.48805451393127,29.79551423860933
BDMAP_O0000049,94.34444308280945,29.101705513214114
BDMAP_O0000059,91.06025695800781,30.36279953836646
BDMAP_O0000065,95.03111243247986,29.10928118236109
BDMAP_O0000016,92.70930886268616,28.88628346173188
BDMAP_O0000029,94.38788294792175,29.87562172120775
BDMAP_O0000034,93.9898669719696,29.825853222822385
BDMAP_O0000096,93.7767505645752,31.56403620200582
BDMAP_O0000018,94.07936930656433,31.46853026888052
BDMAP_O0000023,93.83702278137207,31.061154246477336
BDMAP_O0000012,93.97852420806885,30.395917946734627
BDMAP_O0000011,93.20215582847595,30.693967503057486
BDMAP_O0000050,94.73700523376465,30.823727056205954
BDMAP_O0000064,94.65305209159851,29.494221603561314
BDMAP_O0000258,91.72051548957825,29.853194050087936
BDMAP_O0000021,96.02901339530945,33.07710645016928
BDMAP_O0000033,90.39297699928284,28.428716885256534
BDMAP_O0000032,91.94872975349426,30.077584941146934
BDMAP_O0000043,91.63997769355774,28.55642768809873
BDMAP_O0000019,95.54829597473145,32.71463095269968
BDMAP_O0000048,94.66624855995178,32.209779485784466
BDMAP_O0000036,96.0214912891388,31.03696750403568
BDMAP_O0000035,93.66251826286316,28.760065863564208
BDMAP_O0000014,93.74586939811707,31.230874764961314
BDMAP_O0000058,90.84518551826477,29.752010145606587
BDMAP_O0000006,91.93845391273499,28.787331614387472
BDMAP_O0000028,95.1042115688324,32.23432422659313
BDMAP_O0000038,95.1991617679596,32.193060702080494
BDMAP_O0000004,91.16465449333191,28.886064720380435
BDMAP_O0000031,94.56300735473633,31.001457345832385
BDMAP_O0000017,94.47686672210693,29.354925611154847
BDMAP_O0000041,91.75514578819275,29.517301548241708
BDMAP_O0000037,91.19121432304382,29.294264843420933
BDMAP_O0000164,89.03756737709045,27.21589338507505
BDMAP_O0000039,91.96522831916809,28.82654123279171
BDMAP_O0000022,94.1769540309906,30.88818401475597
BDMAP_O0000010,92.06626415252686,29.010672509637292
BDMAP_O0000005,92.08313822746277,29.56300764045003
BDMAP_O0000003,93.42756867408752,29.406097600815876
BDMAP_O0000458,90.27788043022156,28.023933030845765
BDMAP_O0000464,89.53812718391418,27.516321941166588
BDMAP_O0000046,93.72336268424988,29.28443648402846
BDMAP_O0000044,88.79974484443665,26.347320653580972
BDMAP_O0000045,86.99538707733154,27.154417994620104
BDMAP_O0000020,91.08355641365051,29.420447022706952
BDMAP_O0000047,78.50877642631531,18.67570186791433
BDMAP_O0000460,92.33136177062988,29.48104452908781
BDMAP_O0000055,92.14890003204346,29.376598021688565
BDMAP_O0000007,93.45424175262451,30.634341796095583
BDMAP_O0000009,92.2162115573883,29.0925248743339
BDMAP_O0000008,93.11914443969727,28.887747364672343
BDMAP_O0000457,90.72251319885254,27.963589032109006
BDMAP_O0000054,89.27057385444641,27.871423334092817
BDMAP_O0000165,90.80762267112732,27.842527184606574
BDMAP_O0000465,90.40730595588684,28.050480524093548
BDMAP_O0000463,92.30498671531677,30.984167916533387
BDMAP_O0000001,89.91420269012451,27.617177253304924
BDMAP_O0000461,91.95602536201477,29.418190226300773
BDMAP_O0000002,90.24415612220764,27.97670079314289
BDMAP_O0000462,92.26067662239075,29.833452810430142
