case_name,ssim_3d,psnr_3d
BDMAP_O0000058,91.27335548400879,29.197861699792178
BDMAP_O0000059,86.50758266448975,26.375086205169538
BDMAP_O0000259,89.11445140838623,28.132644758071926
BDMAP_O0000029,91.08144640922546,28.134075080520443
BDMAP_O0000003,90.64805507659912,27.305522503626648
BDMAP_O0000016,89.29426670074463,27.188420499864687
BDMAP_O0000096,92.92389750480652,27.835557697605005
BDMAP_O0000018,86.6581916809082,28.13818107527125
BDMAP_O0000023,91.58920645713806,29.347053259144914
BDMAP_O0000049,89.42089676856995,28.2673953851885
BDMAP_O0000046,84.62265133857727,25.187627751470806
BDMAP_O0000012,89.44184184074402,27.762487666505113
BDMAP_O0000258,92.54998564720154,30.181107319748456
BDMAP_O0000021,92.1718180179596,29.59239555597781
BDMAP_O0000022,89.79519009590149,27.974451357027217
BDMAP_O0000014,89.22803997993469,28.40225827228292
BDMAP_O0000048,89.56887125968933,28.408823170253022
BDMAP_O0000050,89.27662968635559,28.84005315792322
BDMAP_O0000033,85.30766367912292,26.592569433430803
BDMAP_O0000019,89.90070819854736,27.52374440290723
BDMAP_O0000004,88.00584673881531,27.554008284004556
BDMAP_O0000038,90.5976951122284,28.38278479457511
BDMAP_O0000043,88.61261010169983,26.420057491985247
BDMAP_O0000045,83.37000012397766,24.954381487389167
BDMAP_O0000039,92.04403758049011,28.870325473631453
BDMAP_O0000037,91.97392463684082,29.615554548560862
BDMAP_O0000005,86.74028515815735,26.478782144951456
BDMAP_O0000044,82.25967288017273,24.533909404710013
BDMAP_O0000020,87.65578866004944,27.233342191141475
BDMAP_O0000047,82.22663998603821,19.602192466108587
BDMAP_O0000460,88.34447860717773,26.183071575921893
BDMAP_O0000465,85.90075373649597,25.288574829241547
BDMAP_O0000008,91.83303713798523,28.01097893243299
BDMAP_O0000001,87.88583874702454,27.113041866332082
BDMAP_O0000461,86.61687970161438,26.012710765581577
BDMAP_O0000002,84.66489911079407,25.613460361081014
