case_name,ssim_3d,psnr_3d
BDMAP_O0000058,88.54443430900574,27.5858997547461
BDMAP_O0000064,92.95153021812439,28.515064886498607
BDMAP_O0000028,89.52086567878723,27.93461356520625
BDMAP_O0000032,82.11008906364441,23.583719615867057
BDMAP_O0000036,93.0929958820343,29.627304119749
BDMAP_O0000031,84.61301922798157,25.700677420858312
BDMAP_O0000258,88.23574185371399,27.494455015998504
BDMAP_O0000021,88.11283111572266,27.33263512537377
BDMAP_O0000003,88.34888339042664,26.747092837578755
BDMAP_O0000023,87.8506600856781,27.09165422817943
BDMAP_O0000019,90.22037386894226,28.073867294917207
BDMAP_O0000010,84.91294384002686,24.94649215367868
BDMAP_O0000046,88.30210566520691,25.70603752113638
BDMAP_O0000022,88.74819874763489,26.68284085865636
BDMAP_O0000048,89.80308175086975,28.327095173502606
BDMAP_O0000029,89.96424078941345,26.814104332748066
BDMAP_O0000017,88.98267149925232,26.66622303119464
BDMAP_O0000030,88.92359733581543,26.128976849610844
BDMAP_O0000035,88.63239884376526,25.91836884268638
BDMAP_O0000038,90.54824709892273,26.99843178295493
BDMAP_O0000014,90.47204852104187,28.464042078602354
BDMAP_O0000096,85.96755862236023,24.759254010380726
BDMAP_O0000004,83.42466950416565,24.023676068825015
BDMAP_O0000059,83.87114405632019,24.64777049988099
BDMAP_O0000041,85.75398325920105,25.688160210656925
BDMAP_O0000016,89.2282247543335,27.41356708576337
BDMAP_O0000259,86.58475279808044,26.812130202314304
BDMAP_O0000011,89.8844301700592,28.578042679890785
BDMAP_O0000065,91.91243052482605,27.94709109541003
BDMAP_O0000018,91.19083285331726,28.819460258075473
BDMAP_O0000164,82.77449607849121,24.550996735026686
BDMAP_O0000009,87.10331320762634,25.811188671409646
BDMAP_O0000049,92.87288188934326,28.453258034554956
BDMAP_O0000034,86.39070391654968,25.721484206995697
BDMAP_O0000012,87.92829513549805,26.69148013013468
BDMAP_O0000055,85.95330119132996,25.051074909696588
BDMAP_O0000045,81.37832283973694,24.058956099009933
BDMAP_O0000033,84.38755869865417,25.255416051420315
BDMAP_O0000050,91.37066006660461,27.863751571195195
BDMAP_O0000457,83.56830477714539,23.328741066916283
BDMAP_O0000005,86.89112663269043,25.580116523342305
BDMAP_O0000043,85.32965183258057,24.841235813457835
BDMAP_O0000464,82.2653591632843,23.83588926957371
BDMAP_O0000037,85.25382876396179,25.7164538839371
BDMAP_O0000006,85.23579239845276,25.485739040414103
BDMAP_O0000465,83.96340012550354,23.288788951867335
BDMAP_O0000039,87.44565844535828,26.46758651806242
BDMAP_O0000007,86.7839515209198,26.219745978177443
BDMAP_O0000047,84.45568680763245,20.31946124984846
BDMAP_O0000020,83.22679400444031,24.079787859385824
BDMAP_O0000044,85.56961417198181,25.28547807110614
BDMAP_O0000458,84.02478694915771,23.69754829751679
BDMAP_O0000054,83.40848088264465,24.109315974046503
BDMAP_O0000008,89.95136618614197,27.12516669188979
BDMAP_O0000460,83.0022394657135,23.755205129243187
BDMAP_O0000461,85.16008257865906,24.78891645046796
BDMAP_O0000165,83.9720070362091,24.428830534178473
BDMAP_O0000463,87.23183274269104,25.801927082478613
BDMAP_O0000001,79.72388863563538,22.127121602504154
BDMAP_O0000002,84.22929644584656,23.859975251260384
BDMAP_O0000462,86.31815314292908,24.901611192149296
