case_name,ssim_3d,psnr_3d
BDMAP_O0000059,90.7175600528717,29.61705542492495
BDMAP_O0000259,90.28800129890442,28.917892862474805
BDMAP_O0000030,90.58966040611267,28.44706508867769
BDMAP_O0000049,92.68794655799866,28.68057567715581
BDMAP_O0000065,91.00310802459717,27.45418387127593
BDMAP_O0000016,87.31562495231628,26.77243108582143
BDMAP_O0000096,91.85461401939392,29.903913908697177
BDMAP_O0000029,90.6653344631195,28.24864667868839
BDMAP_O0000034,89.60993885993958,27.754980926605946
BDMAP_O0000023,88.76721262931824,28.673439558152797
BDMAP_O0000018,92.48955845832825,30.74307671571812
BDMAP_O0000012,89.83599543571472,28.20883489225624
BDMAP_O0000032,87.1016263961792,27.65184711205444
BDMAP_O0000064,92.37992763519287,28.216619431106473
BDMAP_O0000258,89.84243273735046,28.884793547787552
BDMAP_O0000011,91.71492457389832,30.053718134425303
BDMAP_O0000021,92.47260093688965,30.61627373997112
BDMAP_O0000050,93.2882010936737,29.846571695005846
BDMAP_O0000033,86.08737587928772,27.629695869660477
BDMAP_O0000038,93.51140856742859,30.87344499746388
BDMAP_O0000019,92.65480637550354,31.076102886128403
BDMAP_O0000043,87.87538409233093,27.05685035754267
BDMAP_O0000028,91.27023816108704,30.320001206354465
BDMAP_O0000031,89.43610191345215,28.685375695130908
BDMAP_O0000003,87.05422282218933,26.806603533905403
BDMAP_O0000014,92.04263091087341,30.392161476272225
BDMAP_O0000048,91.40930771827698,30.60482821077016
BDMAP_O0000006,86.65207028388977,27.5367018745759
BDMAP_O0000046,90.49693942070007,27.962425711959003
BDMAP_O0000035,88.9728307723999,26.783898695070228
BDMAP_O0000058,91.00730419158936,30.0277439023358
BDMAP_O0000037,87.8138780593872,27.99209976225752
BDMAP_O0000039,87.74392008781433,27.43271167713443
BDMAP_O0000005,87.81444430351257,27.618595311386763
BDMAP_O0000036,93.19785237312317,29.7805901784546
BDMAP_O0000010,87.55424618721008,27.780218607355675
BDMAP_O0000022,90.2177631855011,28.855246520514036
BDMAP_O0000164,83.46051573753357,25.969071023341662
BDMAP_O0000045,81.78582191467285,25.84272889346166
BDMAP_O0000017,89.71530795097351,26.589061322796272
BDMAP_O0000458,86.47048473358154,26.371265725072032
BDMAP_O0000464,85.11239886283875,25.762201929720163
BDMAP_O0000044,85.3050172328949,26.090928860351035
BDMAP_O0000009,87.63598799705505,27.763836576263948
BDMAP_O0000020,86.48205399513245,27.62364745383795
BDMAP_O0000004,87.48956322669983,27.50203270958792
BDMAP_O0000460,87.61298060417175,27.48256410614962
BDMAP_O0000041,88.96334767341614,28.42616470273335
BDMAP_O0000047,76.75537467002869,19.332631452686712
BDMAP_O0000055,87.14835047721863,27.12261413371049
BDMAP_O0000008,90.24131894111633,27.9108451574323
BDMAP_O0000007,88.45513463020325,27.88508128952778
BDMAP_O0000165,85.63840985298157,26.97653150579121
BDMAP_O0000054,85.21230816841125,26.55312657999731
BDMAP_O0000457,86.16388440132141,26.25082543717697
BDMAP_O0000465,87.26679682731628,26.87687115840282
BDMAP_O0000463,88.05621266365051,28.00247168905292
BDMAP_O0000001,85.4982316493988,25.98422478253699
BDMAP_O0000002,85.62622666358948,26.69720059355737
BDMAP_O0000461,87.75937557220459,27.68741971141083
BDMAP_O0000462,86.442631483078,26.81689590224101
