case_name,ssim_3d,psnr_3d
BDMAP_O0000064,97.6754367351532,32.006481165026884
BDMAP_O0000032,96.21889591217041,32.310969796187656
BDMAP_O0000059,95.93773484230042,33.600973436416446
BDMAP_O0000031,96.15222811698914,32.18709167292589
BDMAP_O0000036,97.50699400901794,32.564601791422625
BDMAP_O0000030,97.21038937568665,32.353894027554816
BDMAP_O0000021,98.3340322971344,36.13241540371516
BDMAP_O0000049,96.41386866569519,31.12958090444941
BDMAP_O0000003,95.82926630973816,31.09443411109862
BDMAP_O0000096,97.9017972946167,35.6821316333022
BDMAP_O0000010,96.17974162101746,31.628821252400673
BDMAP_O0000019,98.1823742389679,34.91249768878475
BDMAP_O0000258,95.97076773643494,32.24723235846866
BDMAP_O0000012,96.81541919708252,32.49392220904618
BDMAP_O0000004,95.84526419639587,31.368654568693106
BDMAP_O0000033,95.73596119880676,32.05111161459866
BDMAP_O0000011,95.34924030303955,32.15786230396282
BDMAP_O0000034,96.27842307090759,31.649613931333246
BDMAP_O0000022,97.52543568611145,34.14756440263799
BDMAP_O0000041,96.21832370758057,32.11922113805072
BDMAP_O0000050,97.15311527252197,32.656117538086626
BDMAP_O0000017,96.8281090259552,31.732920549252142
BDMAP_O0000043,95.47904133796692,30.999709612530545
BDMAP_O0000058,95.29637694358826,32.47528346557628
BDMAP_O0000028,96.89071774482727,33.92960527835322
BDMAP_O0000018,95.59207558631897,32.3917710997688
BDMAP_O0000035,96.24670147895813,30.283039237577363
BDMAP_O0000065,97.16890454292297,31.016928567162733
BDMAP_O0000046,96.02522850036621,31.046448593003454
BDMAP_O0000055,96.99835181236267,33.46613371661995
BDMAP_O0000045,91.60873293876648,28.889870925413984
BDMAP_O0000014,95.26252150535583,32.1205368231269
BDMAP_O0000037,94.76329684257507,31.350067442092143
BDMAP_O0000458,95.60183882713318,30.38246193202991
BDMAP_O0000016,95.57137489318848,30.460111734671635
BDMAP_O0000038,98.34343791007996,36.7227775707474
BDMAP_O0000023,96.20466232299805,32.72173143280698
BDMAP_O0000044,92.98333525657654,28.07356100705502
BDMAP_O0000029,96.6697633266449,31.563499894181156
BDMAP_O0000020,94.29839253425598,31.735317008828975
BDMAP_O0000259,96.04747891426086,32.490839028571656
BDMAP_O0000460,96.0659921169281,31.490443799753805
BDMAP_O0000048,97.98329472541809,35.917940649088905
BDMAP_O0000005,95.51083445549011,31.558698085749697
BDMAP_O0000039,94.90100741386414,30.50595677923213
BDMAP_O0000047,83.62643718719482,19.2262670272655
BDMAP_O0000465,95.86446285247803,30.799335569496723
BDMAP_O0000457,95.8581030368805,30.66169859634399
BDMAP_O0000054,95.86119651794434,31.795320732565337
BDMAP_O0000007,95.80934643745422,32.46851634674093
BDMAP_O0000006,95.11643052101135,30.391408671008953
BDMAP_O0000009,95.48013806343079,31.285611614877872
BDMAP_O0000165,95.00293135643005,30.43907535582161
BDMAP_O0000164,95.37531733512878,30.34254905614462
BDMAP_O0000463,95.65026760101318,33.98736001592016
BDMAP_O0000464,95.57291865348816,30.559289889917018
BDMAP_O0000002,94.7394847869873,30.16855631022604
BDMAP_O0000008,95.04320025444031,30.376282518872515
BDMAP_O0000461,95.5248773097992,31.448479699348496
BDMAP_O0000001,95.05875706672668,30.07445152294671
BDMAP_O0000462,94.82448101043701,31.831841889057742
