case_name,large_nsd_12,large_nsd_10,large_nsd_11,large_nsd_13,large_nsd_17,small_nsd_8,small_nsd_2,small_nsd_3,small_nsd_5,small_nsd_7,vessel_cldice_1,vessel_cldice_9,vessel_cldice_15,vessel_cldice_20,vessel_cldice_21,nonpdac_nsd_24,nonpdac_nsd_25,pdac_nsd_23,tubular_cldice_6,tubular_cldice_16
BDMAP_O0000064,85.4624555066686,93.238819648092,97.03684230345425,62.31518672869072,96.32823644939425,70.0226089609197,85.34663909279449,90.14232263682132,67.185987459061,58.51025765663406,86.95652173913044,96.00000000000001,34.21052631578947,62.18265743488296,96.875,0.0,nan,41.1588718788223,78.80372308774206,66.6318069769179
BDMAP_O0000028,77.59424864773236,91.70311176659766,99.02390951883237,38.20271070175883,62.147288089245244,36.911055252717496,0.0,0.0,0.0,28.62819100888605,72.06537890044576,85.17196625567814,nan,39.89637305699482,77.41935483870968,nan,21.21319535083643,42.48764801455713,35.28818007469466,19.77992485238862
BDMAP_O0000021,90.9423804086974,92.79192847616814,79.96946222583102,61.100046058650705,97.73241152780268,38.52742507935007,79.83246763841566,78.05749931440764,57.05859352086502,39.20503422814955,87.26327986385198,95.62043795620437,52.80898876404495,89.44820909970957,63.09963099630996,0.0,0.0,48.033441050841326,62.637432032876816,61.05884610430745
BDMAP_O0000032,84.84916597584439,94.78360440485265,96.71596074892445,55.161355535167026,97.96835541121143,44.84509433925389,96.73468069654041,84.64640098116631,71.97651507300952,75.35724135930322,94.58483754512635,92.17391304347827,80.42883211678833,81.67955801104972,58.487394957983184,nan,nan,52.507740530789384,80.80061661181594,79.8342386739094
BDMAP_O0000258,86.03506135378439,94.79696796540506,95.01091737684729,68.16774739544542,97.01503250556084,13.879825337569837,67.47651093061486,89.40035423910535,51.67767185109131,78.63380739157945,96.7032967032967,100.0,25.806451612903224,80.66581306017927,70.32967032967034,nan,59.03845595598639,20.192971753199185,96.50934273325639,88.74174394556009
BDMAP_O0000036,52.362701133519664,84.14740656973872,83.38572709685357,17.54734198941684,62.16183297701397,0.0,0.0,0.0,0.0,1.7145176472254442,14.14141414141414,46.71532846715329,nan,nan,nan,nan,nan,2.6534748889826343,78.67609925526587,42.01297826477457
BDMAP_O0000030,64.86439224949837,71.86755588870813,51.76146984223231,13.395400900034277,41.835766189914466,67.1351216946804,0.0,0.0,0.0,18.49059920007208,90.5027932960894,80.55009823182712,nan,nan,nan,nan,2.5337426272021584,14.268245942970678,70.82724905085193,22.77095765271611
BDMAP_O0000259,91.61264751929755,90.98590591955303,91.76917067409445,60.78702502173624,97.94566734457844,63.28754698923507,28.311331808109212,72.4437570748645,17.751034272979293,63.441962024484,100.0,98.52307977221167,25.71428571428572,73.62637362637362,56.363636363636374,nan,51.29323434456266,12.030001908186327,92.81005660627402,85.84879708880558
BDMAP_O0000065,66.95310526802875,89.01977782186651,90.57927780377514,43.30394914431452,69.52423364807841,52.77657398176922,83.68957973425907,74.64386514167374,16.547089037189366,25.26677082409573,81.81818181818181,92.27176220806794,nan,14.218009478672988,86.48648648648648,0.0,nan,10.344649693713624,70.45692483892047,30.33033848977768
BDMAP_O0000003,87.08542291111581,84.48999760122265,86.20512317777586,61.087320496749854,95.18714041674367,82.52724293060074,71.02007546060123,0.0,13.805475409531653,62.1890351242962,78.30687830687832,86.95652173913044,nan,72.421138046455,67.30506155950752,nan,nan,35.024245248059714,87.9715026909823,86.22191430336876
BDMAP_O0000058,87.75420624530064,97.74574371622276,98.86960994258666,70.16021762050329,97.4358722312519,77.75330335154882,79.05929903246903,90.02032391163836,90.3059745747666,89.31934400119891,100.0,91.54228855721394,93.8388625592417,38.403990024937656,75.51070637460006,nan,0.0,1.995097813040841,97.89007814790189,95.38337797020596
BDMAP_O0000031,84.94640916599062,93.78429467549235,93.36138134494634,61.0789671705198,97.19457593318839,89.82225355511285,53.790286492782336,85.37568265944209,0.0,80.88774749280553,97.0414201183432,95.69377990430623,36.36363636363636,80.20627605881062,78.87323943661973,nan,0.0,72.36115252654538,80.99973899635692,73.72768162929813
BDMAP_O0000059,93.66129951666275,97.81196019544386,98.8178766681783,63.64735108562476,99.18491751056816,90.03237997205795,84.46612721596073,91.9700277343233,81.50090741497486,87.86042370220703,100.0,100.0,60.52215189873419,86.07122182592295,87.56756756756758,nan,0.0,0.0,99.40915805022156,97.29608529003937
BDMAP_O0000029,81.45496048899211,97.92817778055273,98.09865952166105,44.37789143400695,97.95675117003638,66.15746783190923,69.96416120464282,78.08902888613119,30.447375659999764,33.89545351619033,91.66666666666666,100.0,14.285714285714288,44.961240310077514,54.63414634146342,0.0,nan,22.67713358707069,83.24064735896451,33.016762640329446
BDMAP_O0000016,71.78996817595811,89.41655930521806,96.08350774006004,57.40026794538229,83.29063501889743,71.4621815535274,34.38268374043286,64.29389855033232,18.066785766890394,48.48876846231316,93.56223175965665,91.32947976878613,nan,36.0655737704918,63.99999999999999,nan,0.0,58.53692767070704,86.49654754301169,59.84731813138588
BDMAP_O0000049,58.572504382968326,41.96282954701277,54.31467543260877,1.7453996593891103,39.54559930439988,70.27260164085918,0.0,54.778240045001155,0.0,3.605972284730145,65.23297491039428,63.1578947368421,nan,nan,nan,40.702045739682404,15.39427813747849,0.0,84.29545935988068,37.938703231491225
BDMAP_O0000023,60.49927393255295,48.026811328067325,95.23226517776459,0.9819466761930403,58.56190214874135,0.0,0.0,35.815677465154,8.056913706334926,35.86228145514399,84.1833317385896,75.724089798767,nan,nan,nan,0.0,0.3171134737808325,17.22935740975417,64.1214042466377,23.649569234866874
BDMAP_O0000034,78.5752014807599,91.04540800411148,95.45974549903107,43.54807106555827,96.98164480080356,nan,58.40807922285811,76.0464510386318,17.79411734853205,46.27661785839461,80.0,89.51841359773371,nan,44.44444444444445,73.8095238095238,nan,nan,38.24419611419473,66.43826815220186,61.03697030896977
BDMAP_O0000096,96.28621809894504,97.71638764306701,97.31505830747949,74.86159308771482,94.3331076309993,96.85806382089392,90.91875480713855,92.59082473441154,86.49490691282026,74.03922107966577,92.90060851926978,100.0,76.03436581505764,90.87737301180093,92.7404718693285,nan,nan,59.95525679928937,80.81381368153487,53.969103584898484
BDMAP_O0000018,55.066494912404615,6.919577015816417,57.378949514422764,25.725080820170433,34.63518494074296,64.79166912015285,0.0,40.54697058135246,9.53147910546771,28.975441095455313,79.59183673469387,61.70177475534915,nan,nan,36.84210526315789,nan,nan,0.0,30.165720487560527,7.396547647197919
BDMAP_O0000019,76.48717407635853,89.15773936658705,91.57451333570454,52.280943516881806,87.10048935126936,5.235393198532937,0.0,76.54085759839903,50.045009885915995,56.635948174752606,87.56855575868373,96.97808991542608,48.216809377338095,26.92068751294264,73.60350492880613,20.50524628981341,28.981089438795966,25.550147136443062,71.705118005834,43.66721495974374
BDMAP_O0000012,88.82484795781077,95.6916020729901,98.20968861052125,72.42532119167618,94.97347926563124,3.1561740191303636,18.939335796013772,84.36888538947538,21.102194300788256,47.22318831121235,89.64218455743878,76.57754934565716,nan,3.225806451612903,9.195402298850574,nan,3.6092823589383842,15.984571106925936,64.21108660938332,14.005492349941154
BDMAP_O0000010,82.76586593789398,88.684570705085,83.08393021020031,31.84819834093769,76.76729779324363,59.53121350686832,0.0,79.3187649523693,0.0,27.4148415634863,86.37873754152824,90.47619047619047,nan,1.5037593984962407,52.94117647058824,0.0,nan,12.32121667806406,75.44995126371388,53.48699245288859
BDMAP_O0000038,73.84566425529732,89.03854882698708,83.81591535384278,71.75503676282277,97.05074914437037,97.17819432224736,70.62505954184219,52.256288339254866,41.74904288881391,65.24353261438485,88.74045801526718,76.04306222170193,nan,52.159827213822894,60.35918531152804,nan,nan,49.19327139434651,90.27551636325487,54.119434381208364
BDMAP_O0000035,79.8975396784885,83.03542463787382,71.60057078194293,38.98039615552434,96.19485700233163,50.11443844116885,45.46073748815324,65.5364040062857,0.1069797082901866,36.61205821770716,95.90643274853802,88.59060402684563,nan,62.56206554121152,23.051735428945644,0.0,0.0,0.0,66.41732283464567,58.677609102841245
BDMAP_O0000017,87.83165395037746,93.8451362018838,89.16693471953546,46.495954708897855,97.29071093372279,62.45492353265946,51.027000443881676,90.18845379243723,3.5221420145457603,59.374636903244024,92.3913043478261,90.13157894736842,0.0,56.916996047430835,63.46153846153846,nan,nan,47.96779088667295,71.99360219890613,34.56965514908587
BDMAP_O0000046,48.16055400206159,80.30253705549897,77.01749842023075,24.056672534063214,48.14719198189305,0.0,0.0,31.61065503928378,0.0,2.3367316036133032,45.72250179726816,43.32168771835529,nan,nan,nan,nan,0.0,0.0,50.619614680818096,11.500100707939517
BDMAP_O0000048,69.05741358369785,93.42023760387576,91.21686538131998,7.457437884948479,48.00145649582303,0.0,77.14004767966577,76.19672813032281,4.065307644069601,10.33268954091204,94.19496166484119,92.12887468647854,nan,13.793103448275861,63.52941176470588,nan,0.0,45.732035839721505,60.196132556551554,70.57001029558477
BDMAP_O0000014,78.3978877105484,95.71333959006388,80.5872221239491,55.55003909968872,77.96694949680463,58.594104408361794,51.20506798107603,71.99375204795408,41.32625772603061,42.78049428864141,97.63313609467455,90.73198958433792,45.16129032258064,39.28571428571428,32.773109243697476,nan,nan,9.081053284452913,66.6901253573785,41.64827078734364
BDMAP_O0000022,82.82836876718267,93.49330315952994,89.6454298043075,66.6821194034338,92.78393732156664,40.04777280549076,82.74567649703516,88.36614770779316,7.805375272133507,86.35522773993002,93.38677354709418,99.09297052154194,nan,72.81546670362414,58.13148788927336,0.0,nan,28.553224984227967,86.2768939056414,72.43109378946625
BDMAP_O0000011,77.6160477420518,69.61418246272554,84.74184728161714,47.245935968849864,75.61999516275868,0.6438991953679293,0.0,46.28663175679556,5.23292461269242,34.80076830672137,82.99414275786758,72.34042553191489,nan,nan,nan,0.4394786456970037,0.0,0.0,58.275180432609794,54.33615644830737
BDMAP_O0000050,71.76375894712294,90.98130099211669,90.60996043779053,58.24349015319923,77.62203780546807,47.01876286758752,69.77925240293148,82.10618271417512,6.924735974675872,21.036841474465824,78.61111111111111,79.44670129068751,nan,nan,73.21428571428571,0.0,21.982422449970578,15.832509177293733,66.88966083446029,42.06610944582664
BDMAP_O0000033,86.92369378127374,92.7579485456747,94.2780172946302,26.17569091579301,82.16777190599346,64.56096586318587,73.30652689316356,85.1267026681248,4.739671908579085,30.500819638814047,80.66666666666666,47.795527156549525,nan,10.852713178294575,nan,nan,nan,5.052706749854393,80.2099398769559,78.61010904392826
BDMAP_O0000004,93.04388861494125,96.99515196263813,96.5618638655428,64.89657297158007,99.40180982641893,22.63910004556939,97.2559231166761,90.73843368851833,82.77108371738078,58.42526587730297,96.6996699669967,98.94928251005688,82.02247191011236,78.94736842105263,80.99173553719008,nan,nan,63.1324843467955,81.81819831070993,65.82382104469914
BDMAP_O0000041,95.55970024037494,98.363327260872,98.63217840379042,62.31432167862986,99.70324419703175,94.812290787479,77.24790993126783,71.12387888192916,85.97277064800768,88.44380218024205,100.0,99.41060903732809,89.47195801902262,88.84358075820326,71.03329009943796,nan,nan,75.67822971475334,74.30836891592323,88.40419187185823
BDMAP_O0000043,86.23954978305375,93.39605995288859,96.9760567644023,64.90957579524502,96.23936068407293,46.78558240219048,27.54771068835598,66.802448481114,65.10402722400114,47.58706150233077,96.50165603961781,88.26226501604768,2.1276595744680846,63.68460955269143,64.93506493506493,nan,1.1102116846810173,25.68807139153531,67.85424721057012,50.97514999163744
BDMAP_O0000009,86.34361368255361,91.48558486167983,91.87612320607948,56.70791806375952,99.00970853118835,53.865196685035684,83.51672066535933,84.67409965160805,37.3928857840994,41.91919826866411,98.83551002199764,97.14134873682086,0.0,65.27777777777779,60.24096385542169,0.0,0.0,2.623179658802494,85.81411836197293,66.93331433226507
BDMAP_O0000037,91.4070536613954,94.85949904644599,95.01739094583502,38.265072889337,86.3189544990032,85.62207482170966,61.391457712858056,82.92719782995586,33.97968764966738,42.199036707999376,77.03703703703704,90.74941155627548,39.58333333333333,52.13950037101163,75.14835721522651,nan,nan,33.0671596471756,88.74321395227791,77.63217335448218
BDMAP_O0000045,83.95447511267061,78.48460348513021,93.55806104779789,43.20124300192567,94.45329189092136,nan,45.622639447673485,75.1086020778762,13.84001718903444,54.36949100855284,81.29032258064515,91.25475285171102,nan,0.0,44.34490481522957,0.0,nan,40.08769541738451,60.95264967508102,33.29614811565485
BDMAP_O0000006,90.67374373304837,91.19599847174062,94.64543136041588,36.98014074491276,90.52596539168746,26.625734581890985,0.0,75.95891101416404,19.900714616605157,45.24365308588405,92.23718132340304,88.57938718662953,7.92079207920792,83.33333333333333,59.25925925925925,nan,46.10598673237622,52.30777307408172,54.01573041363309,44.55228782018537
BDMAP_O0000164,95.25276918793226,97.20132394729085,96.23172121770341,67.7608164116027,98.34812480055055,93.03357153076206,82.37248871213939,40.091521280868704,80.3054540675306,75.9097462398569,98.63302938830411,95.1951951951952,58.06451612903226,87.11831744027644,78.93646138807429,nan,nan,62.80200201730739,61.7702465683016,80.34158018310761
BDMAP_O0000039,84.00490445623653,90.3211545858144,93.45702615068507,49.12853642488046,95.96859753831527,79.86179566268555,71.7349744840124,83.56224115220395,6.117185413932067,65.23052107141677,83.10679611650485,91.20917986403113,nan,63.291139240506325,40.32645223235718,nan,nan,15.065540983716227,73.28594516266881,69.53913226198873
BDMAP_O0000005,92.57912402947653,93.81997644137215,93.23731839096358,56.39627603029119,98.19388593256448,54.79965925655108,91.89135898590138,91.68647619161173,40.01067721094865,45.879484580060286,88.97338403041826,96.15384615384615,22.900763358778626,68.48920863309351,36.74719292276284,nan,nan,51.01787972837827,70.28531162817451,51.14746447768657
BDMAP_O0000055,80.30338714150119,94.95638038690723,98.25549257561586,46.77867542895792,98.81373425808488,26.540975092864223,16.309891354198342,82.47893008423375,31.172262844971954,60.50033968563279,94.0809968847352,93.70786516853933,nan,56.31884057971015,43.93939393939394,0.0,0.0,19.264517736540814,85.82389967898423,63.340381561561465
BDMAP_O0000047,38.476335618003716,65.86944881365527,74.9053516329582,0.0,36.406199064688295,20.24517239233955,26.27956883184747,55.68635020325512,0.0,7.808616675689209,63.366336633663366,56.21929432782493,nan,nan,0.0,0.0,0.0,0.0,12.562820925861597,26.699402892856682
BDMAP_O0000460,93.30881292733288,94.2526196646558,96.54773772630514,76.13100983701376,99.21760091922992,73.94699276602401,62.18058388116698,84.59878036768293,73.46430626772008,77.70263264188016,98.70578084555652,95.65844396946281,73.56288594195142,53.446447507953344,53.61702127659574,75.85638503463198,6.3102448318345425,nan,85.11471566103258,45.73144573144573
BDMAP_O0000457,95.77725589146755,97.55105847490732,93.61037456975052,84.20377026177842,98.75074159396314,89.66278021041157,82.73502788498386,78.46602623848904,94.65056856670707,96.0349674536992,93.98230088495575,99.24160346695558,59.77382875605816,23.036649214659686,46.04185623293904,0.0,0.0,nan,92.06007152200331,75.7071511646723
BDMAP_O0000044,67.79256374356713,92.12576217063129,92.02603423297396,21.82010735251107,75.83206509461536,40.921981045613286,64.98261427151742,60.38155251761892,0.0,52.443618397991955,89.52095808383233,83.3971105037095,12.371134020618557,64.8833433039911,35.82089552238805,0.0,nan,24.41829174466084,65.7007986651823,74.31396982002441
BDMAP_O0000007,66.69452859671611,39.22455733302915,60.70938739871467,12.11792816141469,71.20680247072374,20.176352968307217,28.22656758547093,27.355821434806355,2.133411982155068,9.231657782137244,88.4381806789135,87.71929824561403,0.0,8.108108108108107,nan,0.0,nan,0.0,68.04431477156845,31.664866881857485
BDMAP_O0000458,97.09095922529633,97.06153409597232,98.13145008845233,81.81573513959053,98.76424566091403,97.83120232457692,94.9571317302875,84.62330135114206,78.157021217797,93.11288156057344,88.36238760369335,97.34693877551021,51.301115241635685,90.64327485380117,36.05150214592274,nan,71.79777577246345,nan,93.91140026258013,83.281434998816
BDMAP_O0000464,92.82193805264538,94.34198638237459,91.54388103007102,69.88067410339815,99.43181906477693,81.9142218903996,81.68675840780737,80.48523946960269,77.40222830594186,77.62380761486513,99.2970123022847,94.62532714310066,71.2707182320442,76.1904761904762,80.73416798346906,6.577413544764574,1.0321056590145143,nan,86.26696164626222,86.30222412346308
BDMAP_O0000465,93.54930853183386,91.04475163902691,92.0178902307412,73.9216600868734,87.41325899655897,82.9482498333999,72.0785417237016,92.42446132987068,33.344183179999106,80.92983324730592,95.69990850869168,95.93455627169062,41.944809461235224,85.12215939400406,93.59605911330048,26.010908323963033,32.06724798546295,4.177297575501555,88.1786652382904,78.29715117485003
BDMAP_O0000020,53.84843334674896,62.27179684916884,39.66484820984932,0.6480782142909893,56.247812772791285,6.909721933311919,0.0,18.99911206258516,0.0,1.9595859366468582,75.05330490405117,56.89977561705311,nan,nan,nan,nan,nan,0.0,67.04043053536758,16.522031311717356
BDMAP_O0000165,92.73729516226932,90.5849503363578,95.00793448386084,60.698987492861114,95.04876229520573,58.09283116571622,75.0138135643297,19.93895629409699,32.6546300755133,44.337883480097254,73.63896848137537,83.2300702189178,nan,51.95222968354176,59.907095947461166,nan,nan,43.98570396237408,66.00669305474527,71.91696951322747
