case_name,ssim_3d,psnr_3d
BDMAP_O0000058,92.82171726226807,30.73196414124103
BDMAP_O0000059,88.49135041236877,27.25532899173531
BDMAP_O0000259,91.38166904449463,27.318395275733344
BDMAP_O0000258,93.24734807014465,29.40850198593953
BDMAP_O0000021,94.16458010673523,30.427408593594947
BDMAP_O0000029,84.00158286094666,23.80109287035314
BDMAP_O0000049,90.87349772453308,27.283422002487935
BDMAP_O0000016,86.60566210746765,24.448989456012807
BDMAP_O0000003,77.27442383766174,21.74924218231609
BDMAP_O0000023,89.1061782836914,26.406030269095716
BDMAP_O0000096,92.10413098335266,28.019795359058655
BDMAP_O0000018,91.63993000984192,29.98429178927166
BDMAP_O0000046,80.76441884040833,23.347242803732815
BDMAP_O0000019,92.59746074676514,28.416795438362904
BDMAP_O0000012,91.51034355163574,27.879177443652353
BDMAP_O0000022,93.88806223869324,30.3281970770318
BDMAP_O0000038,92.00866222381592,28.91116299099717
BDMAP_O0000048,91.81139469146729,28.112282542733272
BDMAP_O0000014,93.06738376617432,30.29046201460065
BDMAP_O0000050,89.27056193351746,26.64718452399179
BDMAP_O0000033,88.88041973114014,27.196129310338513
BDMAP_O0000004,90.49992561340332,28.468423149585462
BDMAP_O0000043,92.13833212852478,28.354668533567533
BDMAP_O0000045,88.61170411109924,27.440642893698566
BDMAP_O0000005,90.3735339641571,27.80266008837537
BDMAP_O0000039,92.99209117889404,29.213978734749134
BDMAP_O0000037,92.9500162601471,29.967142164522663
BDMAP_O0000465,92.9384708404541,29.651021898897024
BDMAP_O0000460,92.74203181266785,29.8784250561012
BDMAP_O0000044,86.94073557853699,24.56859949834393
BDMAP_O0000020,88.62215876579285,26.79965368924313
BDMAP_O0000047,81.66840672492981,18.78672170632575
BDMAP_O0000008,94.33727264404297,30.293076937809072
BDMAP_O0000461,91.17006659507751,28.387681162811024
BDMAP_O0000001,92.22267270088196,29.907734972785054
BDMAP_O0000002,90.80198407173157,28.693159141030172
