case_name,ssim_3d,psnr_3d
BDMAP_O0000058,90.50369262695312,29.54143543565966
BDMAP_O0000032,92.35221743583679,29.95520136415754
BDMAP_O0000059,91.73291325569153,30.691691476831945
BDMAP_O0000258,92.29070544242859,29.900175541456168
BDMAP_O0000029,94.32904124259949,29.714488940649563
BDMAP_O0000049,94.4121778011322,29.393153128831923
BDMAP_O0000018,94.04416084289551,31.425817447452246
BDMAP_O0000019,95.52798867225647,32.85015144656904
BDMAP_O0000012,94.1191017627716,30.47521309548057
BDMAP_O0000046,94.2952811717987,29.664777336794796
BDMAP_O0000065,95.28072476387024,29.49667121033697
BDMAP_O0000048,94.99642252922058,32.50045854582176
BDMAP_O0000035,93.58856081962585,28.61564603547116
BDMAP_O0000064,94.63253021240234,29.455010631302663
BDMAP_O0000014,93.6053454875946,31.15328906907362
BDMAP_O0000050,95.38042545318604,30.85993705715952
BDMAP_O0000041,92.4367606639862,29.88471233502171
BDMAP_O0000036,96.24974131584167,31.125342279550125
BDMAP_O0000028,95.04079222679138,32.226545960211375
BDMAP_O0000030,94.66629028320312,30.088560036872174
BDMAP_O0000023,93.73876452445984,30.888368600164267
BDMAP_O0000009,91.69747233390808,28.99124677614463
BDMAP_O0000006,91.57659411430359,28.687776964627
BDMAP_O0000038,95.48187851905823,32.267254048889654
BDMAP_O0000259,92.77913570404053,30.12662782574029
BDMAP_O0000033,91.70165061950684,29.242279386446455
BDMAP_O0000055,92.53996014595032,29.73848660820968
BDMAP_O0000021,96.21971249580383,33.217355342732034
BDMAP_O0000096,94.56291198730469,32.192684228777864
BDMAP_O0000034,93.45195889472961,29.274349039074963
BDMAP_O0000031,94.04678344726562,30.74205363862712
BDMAP_O0000039,92.28169322013855,28.86400543111828
BDMAP_O0000022,93.95890831947327,30.685245801935555
BDMAP_O0000017,94.3322241306305,29.284629759551215
BDMAP_O0000464,89.64653015136719,27.395889927243957
BDMAP_O0000044,89.4270122051239,26.381557042172894
BDMAP_O0000010,93.01517605781555,29.395927816099565
BDMAP_O0000164,89.04297351837158,27.426629145158795
BDMAP_O0000003,92.87817478179932,29.08072668526113
BDMAP_O0000004,91.68429374694824,29.092312235493843
BDMAP_O0000457,91.05713963508606,28.105283171044405
BDMAP_O0000047,81.45763278007507,18.65569990046807
BDMAP_O0000016,92.91855692863464,28.953443753778867
BDMAP_O0000045,85.52716374397278,26.595957365401883
BDMAP_O0000020,90.9613311290741,29.48424204342861
BDMAP_O0000011,92.95271039009094,30.620394627643364
BDMAP_O0000043,91.29397869110107,28.491968415289097
BDMAP_O0000458,90.37080407142639,27.96525316285557
BDMAP_O0000037,92.04983711242676,29.648068302605886
BDMAP_O0000054,90.79535603523254,28.330545819720975
BDMAP_O0000460,91.99864268302917,29.434728292717764
BDMAP_O0000008,92.377108335495,28.648806845085353
BDMAP_O0000165,90.9837543964386,28.042005185151385
BDMAP_O0000007,93.69054436683655,30.7516967353529
BDMAP_O0000005,92.08744168281555,29.481235736270378
BDMAP_O0000461,92.11475849151611,29.464298957722534
BDMAP_O0000001,90.95681309700012,27.795392074034318
BDMAP_O0000465,90.65997004508972,28.153454112623287
BDMAP_O0000002,90.22329449653625,27.9254142771522
BDMAP_O0000462,91.0529613494873,29.500549345426425
BDMAP_O0000463,92.75193810462952,30.875931011156084
