case_name,ssim_3d,psnr_3d
BDMAP_O0000058,93.43789219856262,31.114797798107144
BDMAP_O0000059,93.52743029594421,30.46947057652971
BDMAP_O0000259,93.70588660240173,29.53544609112642
BDMAP_O0000258,94.86835598945618,31.295392744912135
BDMAP_O0000016,94.10467147827148,29.958436487557563
BDMAP_O0000029,95.65686583518982,30.686256017691225
BDMAP_O0000049,91.63253903388977,28.467784502731135
BDMAP_O0000021,95.10507583618164,32.08627640024906
BDMAP_O0000003,94.84913349151611,29.661943254704177
BDMAP_O0000018,92.51635670661926,31.200717263708555
BDMAP_O0000023,94.43104863166809,30.48021150474157
BDMAP_O0000096,95.27624249458313,31.211991749704534
BDMAP_O0000019,94.8840856552124,30.104805035515714
BDMAP_O0000046,93.89780163764954,28.96021211442344
BDMAP_O0000012,94.84760165214539,31.571068355822067
BDMAP_O0000022,94.7287380695343,31.37624530044313
BDMAP_O0000038,93.54868531227112,30.591995965362607
BDMAP_O0000048,92.74346828460693,28.77331457491213
BDMAP_O0000014,93.11392307281494,30.8847151470152
BDMAP_O0000050,92.38603115081787,29.553196972310033
BDMAP_O0000033,92.66747832298279,30.23890613216334
BDMAP_O0000004,92.74913668632507,30.615242922702308
BDMAP_O0000043,92.89698600769043,29.51126429100736
BDMAP_O0000045,90.10574221611023,28.41655578029599
BDMAP_O0000005,93.01872253417969,30.478187387794534
BDMAP_O0000037,93.57853531837463,31.120876607380872
BDMAP_O0000039,93.24821829795837,29.35048356382692
BDMAP_O0000465,93.25881600379944,29.852897068874032
BDMAP_O0000460,93.741375207901,31.04335176515451
BDMAP_O0000044,90.22625088691711,26.164531532868423
BDMAP_O0000047,72.18844890594482,18.55455742453779
BDMAP_O0000020,91.6787326335907,30.11533592552718
BDMAP_O0000008,94.32151913642883,29.956868674193554
BDMAP_O0000461,93.0945873260498,30.26712344227802
BDMAP_O0000002,92.18769073486328,30.174578095503882
BDMAP_O0000001,92.76390075683594,30.571770483791067
