case_name,large_nsd_12,large_nsd_10,large_nsd_11,large_nsd_13,large_nsd_17,small_nsd_8,small_nsd_2,small_nsd_3,small_nsd_5,small_nsd_7,vessel_cldice_1,vessel_cldice_9,vessel_cldice_15,vessel_cldice_20,vessel_cldice_21,nonpdac_nsd_24,nonpdac_nsd_25,pdac_nsd_23,tubular_cldice_6,tubular_cldice_16
BDMAP_O0000028,18.757932264896393,0.0,0.0,0.0,1.9818864977093393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0
BDMAP_O0000064,12.441337240349375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,21.674885938578747,0.0
BDMAP_O0000258,5.726141428928274,0.0,0.0,0.0,7.770960328824715,0.0,0.0,0.0,0.0,0.0,30.78668887661201,0.0,0.0,0.0,0.0,nan,nan,0.0,7.415523350742102,0.07459510065220479
BDMAP_O0000021,4.739489027639102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
BDMAP_O0000036,2.709631948059934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.6074078839068482,0.0
BDMAP_O0000032,27.857907979793396,0.0,8.855565689436766,0.0,17.30611317108032,0.0,0.0,0.0,0.0,0.0,18.875240455737117,0.5480461387250024,0.0,0.0,0.0,nan,nan,0.0,6.604665886594548,0.0
BDMAP_O0000059,13.133650786595345,0.0,2.7561820814318314,0.0,4.21640231207964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,11.048269821298854,0.5106835592980747
BDMAP_O0000016,11.29000535332342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1946254819536053,0.0,0.0,0.0,nan,nan,0.0,7.154616117914532,0.0
BDMAP_O0000031,18.978890437841407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,6.022585598799216,0.0
BDMAP_O0000003,13.071119247781631,0.0,0.0,0.0,1.0558135243301798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,4.08426375039088,0.0
BDMAP_O0000058,2.3063101820965923,0.0,12.7946994661943,7.9024141695719825,0.0,0.0,0.0,0.0,0.0,0.0,6.800606736972902,0.0,0.0,0.0,0.0,nan,nan,0.0,13.404952831757491,3.2585429526748784
BDMAP_O0000035,7.767020654335292,0.0,0.0,0.0,14.428710473988064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,9.481047542666122,0.0
BDMAP_O0000038,1.9930193860665106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,9.206676819021057,0.0
BDMAP_O0000010,11.674540986165663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,2.9310571678049495,0.15419852705609197
BDMAP_O0000019,15.388622332068614,0.0,0.0,0.0,0.1858987434277129,0.0,0.0,0.0,0.0,0.0,1.874846198587134,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
BDMAP_O0000046,9.754043098204617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034666930934069,0.0,0.0,0.0,nan,nan,0.0,6.431396154017207,0.0
BDMAP_O0000017,3.87246671004892,0.0,0.0,0.0,0.1898495115647796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.5270064066077512,0.0
BDMAP_O0000048,0.38223615134551886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.25316538341801836,0.0
BDMAP_O0000014,19.233961626236137,0.0,0.0,0.0,0.5286702084349323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.8123930297540651,2.2241704305050254
BDMAP_O0000030,21.947528731528227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,5.511993166447693,0.0
BDMAP_O0000022,17.50141766935797,0.0,2.7778201275051737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,16.163676709348106,0.0
BDMAP_O0000023,12.271079293436756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0
BDMAP_O0000096,17.05142603808807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,3.14765908318415,0.0
BDMAP_O0000029,8.248048804389754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,7.043886600297997,0.0
BDMAP_O0000049,3.4482510552753336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.03545761643920054,0.0
BDMAP_O0000041,7.1120976719432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.25920733294075,28.279955365942488,0.0,0.0,0.0,nan,nan,0.0,19.489995568445963,0.0
BDMAP_O0000004,28.799272819326756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980448082256036,3.6821420876601834,0.0,0.0,0.0,nan,nan,0.0,21.23806224592827,0.0
BDMAP_O0000034,14.91485479512194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.486709626778907,0.0,0.0,0.0,nan,nan,0.0,5.81516083411954,0.0
BDMAP_O0000164,20.801388322850283,0.0,0.0,0.0,5.804494404194471,0.0,0.0,0.0,0.0,0.0,22.13644226251976,0.0,0.0,0.0,0.0,nan,nan,0.0,15.705930957549938,0.3559497092578038
BDMAP_O0000011,5.668590746428815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,3.175875482984637,0.0
BDMAP_O0000259,24.31657819451685,0.0,0.0,0.0,4.682114933538393,0.0,0.0,0.0,0.0,0.0,0.0,13.333129608771694,0.0,0.0,0.0,nan,nan,0.0,6.3077690085477895,0.0
BDMAP_O0000045,16.2794061428037,0.0,0.0,0.0,2.4071627199213794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,4.470223336762517,0.0
BDMAP_O0000009,14.827374985827088,0.0,0.0,0.0,2.674928124281296,0.0,0.0,0.0,0.0,0.0,0.0,1.6092380686640417,0.0,0.0,0.0,0.0,nan,0.0,0.3137615284336008,0.68141197504109
BDMAP_O0000055,22.2251589142337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.134004187238484,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0
BDMAP_O0000037,18.791765096265582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.5424054818793206,0.0
BDMAP_O0000050,12.043602455195881,0.0,0.0,0.0,0.21684339941908815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0
