case_name,ssim_3d,psnr_3d
BDMAP_O0000064,92.96689629554749,28.51502968776593
BDMAP_O0000259,86.61338686943054,26.81534168130579
BDMAP_O0000036,93.10850501060486,29.626240702244473
BDMAP_O0000028,89.55093026161194,27.93249998970021
BDMAP_O0000021,88.10744881629944,27.330268303045663
BDMAP_O0000030,88.93477320671082,26.126639800649627
BDMAP_O0000029,89.98021483421326,26.814472572311686
BDMAP_O0000016,89.23099637031555,27.4120381082961
BDMAP_O0000058,88.55681419372559,27.587774667131125
BDMAP_O0000048,89.81048464775085,28.32645532029986
BDMAP_O0000011,89.91482853889465,28.57702723553591
BDMAP_O0000010,84.89977717399597,24.944700002707137
BDMAP_O0000004,83.44754576683044,24.024111206865765
BDMAP_O0000003,88.35843205451965,26.74705563995268
BDMAP_O0000033,84.40211415290833,25.255475226801728
BDMAP_O0000096,85.96871495246887,24.760839359064516
BDMAP_O0000043,85.37144064903259,24.842319975983894
BDMAP_O0000034,86.4138126373291,25.72079524865055
BDMAP_O0000258,88.27650547027588,27.49648552432637
BDMAP_O0000164,82.82628655433655,24.550701363339513
BDMAP_O0000009,87.1042788028717,25.810817185729128
BDMAP_O0000006,85.26337742805481,25.483115097268897
BDMAP_O0000055,85.97328662872314,25.050521667659403
BDMAP_O0000017,88.99592757225037,26.66533562985597
BDMAP_O0000065,91.93373322486877,27.945542449442392
BDMAP_O0000005,86.89908385276794,25.57897555305681
BDMAP_O0000039,87.45906352996826,26.46789613183136
BDMAP_O0000049,92.88877844810486,28.45231032108632
BDMAP_O0000059,83.90499949455261,24.65096574505125
BDMAP_O0000019,90.22409319877625,28.070984747616592
BDMAP_O0000045,81.38678669929504,24.05934930858942
BDMAP_O0000014,90.4682457447052,28.462720597340073
BDMAP_O0000046,88.30624222755432,25.706587397803794
BDMAP_O0000037,85.29982566833496,25.71583635323368
BDMAP_O0000464,82.31292366981506,23.837388791864086
BDMAP_O0000018,91.22074246406555,28.817290741216578
BDMAP_O0000022,88.7599766254425,26.68273287893728
BDMAP_O0000031,84.62703824043274,25.697588291205026
BDMAP_O0000035,88.65194320678711,25.917045404483353
BDMAP_O0000012,87.9319965839386,26.691510033681368
BDMAP_O0000038,90.55787920951843,27.000391217952895
BDMAP_O0000050,91.37470722198486,27.86289143456819
BDMAP_O0000465,83.95564556121826,23.288013098508934
BDMAP_O0000032,82.12898373603821,23.58554907709975
BDMAP_O0000457,83.60052108764648,23.331193328063296
BDMAP_O0000023,87.86376118659973,27.09300607624099
BDMAP_O0000047,84.48278307914734,20.319981138824485
BDMAP_O0000041,85.77345013618469,25.68973146997072
BDMAP_O0000054,83.4298849105835,24.108500465414174
BDMAP_O0000460,82.98110365867615,23.753228476257462
BDMAP_O0000008,89.97690677642822,27.12514337333146
BDMAP_O0000044,85.58521866798401,25.284310246394877
BDMAP_O0000461,85.15922427177429,24.788559695933607
BDMAP_O0000007,86.8408203125,26.218150399559654
BDMAP_O0000001,79.74817156791687,22.126965126709955
BDMAP_O0000458,84.07240509986877,23.699075832515977
BDMAP_O0000002,84.24659371376038,23.859388320539693
BDMAP_O0000020,83.24788212776184,24.081372525684195
BDMAP_O0000165,84.00105834007263,24.428309284476786
BDMAP_O0000463,87.242192029953,25.801982653980396
BDMAP_O0000462,86.31308674812317,24.899540253710796
