case_name,ssim_3d,psnr_3d
BDMAP_O0000058,88.98248076438904,27.845982061009135
BDMAP_O0000059,91.39482975006104,29.173987211045915
BDMAP_O0000259,89.93598818778992,27.379446936404598
BDMAP_O0000258,92.10036396980286,29.119919713857804
BDMAP_O0000029,84.83707308769226,24.622229510555957
BDMAP_O0000016,82.3571264743805,23.18817694863851
BDMAP_O0000021,92.87669062614441,29.611075609399656
BDMAP_O0000049,88.55195045471191,26.50323337461682
BDMAP_O0000003,79.11117672920227,22.93302189859414
BDMAP_O0000023,88.25591206550598,25.934005932780302
BDMAP_O0000018,87.66983151435852,29.023511898618423
BDMAP_O0000096,91.8363094329834,27.99192083813022
BDMAP_O0000046,84.42381024360657,24.931039586929565
BDMAP_O0000019,88.7078583240509,26.265283410028857
BDMAP_O0000022,89.62597250938416,27.266839157231438
BDMAP_O0000012,90.00175595283508,27.003951502363357
BDMAP_O0000038,87.96411156654358,26.21530749228071
BDMAP_O0000048,88.64935040473938,26.33213310463679
BDMAP_O0000014,89.79480266571045,29.27670456419095
BDMAP_O0000050,84.75234508514404,24.64425627196956
BDMAP_O0000033,87.92139887809753,27.317143205590494
BDMAP_O0000004,89.63854312896729,28.142131722048248
BDMAP_O0000043,90.14549851417542,26.912785665680694
BDMAP_O0000045,87.4755859375,27.144798100144975
BDMAP_O0000005,89.55726027488708,27.766342729833436
BDMAP_O0000037,92.1648919582367,29.23009180263227
BDMAP_O0000039,92.06421971321106,28.6179279735298
BDMAP_O0000460,91.43844246864319,29.030342486521683
BDMAP_O0000465,91.8591558933258,29.007062393624814
BDMAP_O0000044,88.36262822151184,26.256968555411078
BDMAP_O0000047,78.83313298225403,18.78703822286421
BDMAP_O0000020,85.78268885612488,25.212349238849818
BDMAP_O0000008,93.0816113948822,29.79589387676649
BDMAP_O0000461,89.94762301445007,27.754861723273137
BDMAP_O0000002,89.6486222743988,28.307877713246743
BDMAP_O0000001,90.42908549308777,28.876362740012933
