case_name,ssim_3d,psnr_3d
BDMAP_O0000059,94.66059803962708,31.341592124596183
BDMAP_O0000058,94.80684399604797,33.0598082543741
BDMAP_O0000259,94.64207291603088,30.601327630114305
BDMAP_O0000258,95.69637775421143,32.614647374432565
BDMAP_O0000021,95.80708146095276,32.684817043265895
BDMAP_O0000049,92.51840710639954,29.63367274454143
BDMAP_O0000003,95.61508297920227,30.561753600768053
BDMAP_O0000096,96.6994047164917,32.91191252770264
BDMAP_O0000018,92.87047386169434,31.71679680147698
BDMAP_O0000023,95.28486728668213,31.221636811810445
BDMAP_O0000019,96.1283266544342,30.42404454563119
BDMAP_O0000046,93.86375546455383,29.957685059733592
BDMAP_O0000022,95.72109580039978,32.524908258025505
BDMAP_O0000048,94.37277317047119,31.517562185361953
BDMAP_O0000016,94.65901851654053,29.920667910488184
BDMAP_O0000050,93.07882189750671,30.835590978899642
BDMAP_O0000029,96.02391719818115,31.280808231429464
BDMAP_O0000014,94.70502734184265,32.53813022272594
BDMAP_O0000012,95.44318318367004,32.69230833775236
BDMAP_O0000004,94.52523589134216,32.19357819755305
BDMAP_O0000043,94.69015002250671,30.641141692155685
BDMAP_O0000038,95.51306366920471,33.13722154769914
BDMAP_O0000033,93.58136653900146,30.716321811398753
BDMAP_O0000045,90.51604270935059,28.642778194173605
BDMAP_O0000037,94.46036219596863,32.218816622757345
BDMAP_O0000039,95.15056610107422,31.884768269187273
BDMAP_O0000044,90.81631302833557,27.096887204305766
BDMAP_O0000465,94.31379437446594,30.510269674153975
BDMAP_O0000460,94.96952891349792,32.448684747327405
BDMAP_O0000005,94.20801997184753,31.356329170976174
BDMAP_O0000020,92.57754683494568,31.065841645310556
BDMAP_O0000008,94.50054168701172,30.90532499065823
BDMAP_O0000047,75.37867426872253,19.450669559935232
BDMAP_O0000461,94.17168498039246,30.90221160959013
BDMAP_O0000001,93.62085461616516,31.581265849847945
BDMAP_O0000002,93.17653775215149,30.56938757109379
