case_name,ssim_3d,psnr_3d
BDMAP_O0000059,94.34111714363098,31.309992076786397
BDMAP_O0000058,94.88902688026428,32.746333216161744
BDMAP_O0000258,95.42379379272461,31.752631149900317
BDMAP_O0000021,95.95627784729004,32.61992651282015
BDMAP_O0000019,94.82172131538391,30.046400381983112
BDMAP_O0000049,91.74620509147644,29.180231139308326
BDMAP_O0000016,94.26974654197693,29.83248828517553
BDMAP_O0000003,94.49677467346191,30.406458047043216
BDMAP_O0000046,93.0783748626709,29.373116298965147
BDMAP_O0000096,96.54850959777832,32.661037947621054
BDMAP_O0000012,94.27528977394104,31.55581016548824
BDMAP_O0000038,93.96979212760925,31.88528405521206
BDMAP_O0000022,95.18835544586182,32.286742508617436
BDMAP_O0000259,93.39239597320557,29.95118502632846
BDMAP_O0000023,95.13842463493347,31.09490807423863
BDMAP_O0000048,93.54332089424133,30.777935447998516
BDMAP_O0000029,95.5035150051117,31.067383398558484
BDMAP_O0000018,90.84135890007019,30.592158759646747
BDMAP_O0000033,92.53117442131042,30.59371026837439
BDMAP_O0000045,90.21112322807312,28.654250769599948
BDMAP_O0000014,92.27398037910461,30.43329797747387
BDMAP_O0000050,91.65341258049011,30.36830647679572
BDMAP_O0000043,93.23543906211853,29.780823237752006
BDMAP_O0000004,94.36165690422058,31.88565808255506
BDMAP_O0000037,94.64442133903503,31.94995057100966
BDMAP_O0000005,93.4021532535553,31.227333479041633
BDMAP_O0000039,94.81579661369324,31.54418309239448
BDMAP_O0000044,88.87240290641785,26.38782379537773
BDMAP_O0000047,70.3924834728241,19.213945208118773
BDMAP_O0000460,94.21098828315735,31.533919438057044
BDMAP_O0000020,91.21120572090149,29.978679486286186
BDMAP_O0000465,93.57960820198059,30.717416729662446
BDMAP_O0000008,93.68023872375488,29.098807391146234
BDMAP_O0000001,91.85841083526611,30.174917689103523
BDMAP_O0000002,92.23905205726624,30.46667125429469
BDMAP_O0000461,93.63511204719543,30.850197391701478
