case_name,ssim_3d,psnr_3d
BDMAP_O0000032,93.51162910461426,29.75273194779134
BDMAP_O0000259,94.18880939483643,30.546448687931385
BDMAP_O0000021,97.13533520698547,33.96972402460248
BDMAP_O0000030,95.34058570861816,29.77982513201014
BDMAP_O0000003,93.71045231819153,29.267036448043143
BDMAP_O0000016,93.68082880973816,29.042141864971786
BDMAP_O0000023,94.37391757965088,30.950919894788512
BDMAP_O0000010,93.60834956169128,29.42734491428152
BDMAP_O0000019,96.78546786308289,33.23715450879892
BDMAP_O0000035,94.31142807006836,28.76715828767025
BDMAP_O0000058,92.89763569831848,30.470243459803207
BDMAP_O0000029,94.8660671710968,29.66092849477032
BDMAP_O0000034,94.50919032096863,29.818053546792974
BDMAP_O0000004,93.16272139549255,29.441489485160773
BDMAP_O0000048,96.1423397064209,33.33623097679723
BDMAP_O0000041,94.20552849769592,30.585640404068165
BDMAP_O0000043,92.4947738647461,28.50410525288767
BDMAP_O0000038,96.84959053993225,33.498606316905615
BDMAP_O0000028,95.52600979804993,32.18835497364272
BDMAP_O0000033,92.33271479606628,29.225649983514526
BDMAP_O0000050,96.00583910942078,31.18068323363397
BDMAP_O0000011,93.82762908935547,30.81064001385152
BDMAP_O0000059,94.07925009727478,31.547471842660677
BDMAP_O0000005,93.24553608894348,29.572104768995434
BDMAP_O0000012,95.26119828224182,30.911541601492903
BDMAP_O0000055,93.70918273925781,30.285913088388483
BDMAP_O0000037,92.9549515247345,29.864556628971563
BDMAP_O0000064,95.98554968833923,29.813918933303615
BDMAP_O0000458,92.72186160087585,28.486086271889064
BDMAP_O0000464,91.31892323493958,27.677447540846615
BDMAP_O0000014,93.73591542243958,30.975007959633718
BDMAP_O0000049,95.36676406860352,29.518310455295705
BDMAP_O0000009,93.43398213386536,29.628273851767926
BDMAP_O0000164,91.04182124137878,27.843392861056145
BDMAP_O0000460,93.5539960861206,29.68331684882513
BDMAP_O0000465,92.8351879119873,28.83013087641921
BDMAP_O0000044,90.54633975028992,26.616333202151527
BDMAP_O0000258,93.9484179019928,30.449837818357075
BDMAP_O0000018,94.18125748634338,31.201872720391655
BDMAP_O0000096,96.34798169136047,33.293775307981846
BDMAP_O0000031,94.97978091239929,30.746382732303804
BDMAP_O0000036,96.59115672111511,31.030152155902734
BDMAP_O0000045,88.31447958946228,27.045567019410534
BDMAP_O0000046,94.3540871143341,29.32168520149245
BDMAP_O0000022,95.78829407691956,31.878358650128412
BDMAP_O0000006,93.02566647529602,28.965473481752085
BDMAP_O0000065,95.59764862060547,29.325196537922732
BDMAP_O0000017,95.00502943992615,29.65725495604495
BDMAP_O0000039,92.98088550567627,29.030957628489162
BDMAP_O0000007,94.01491284370422,30.74897869598842
BDMAP_O0000008,93.62398982048035,28.94680143361992
BDMAP_O0000457,92.92399883270264,28.389312697402104
BDMAP_O0000463,93.65635514259338,31.454754365730786
BDMAP_O0000020,92.00494885444641,29.58605004266476
BDMAP_O0000054,91.20805859565735,28.18835810487707
BDMAP_O0000047,78.55011820793152,19.451646516476004
BDMAP_O0000165,91.99178218841553,28.264622833634448
BDMAP_O0000462,92.48961806297302,29.73045382291186
BDMAP_O0000002,91.5377676486969,28.093366284196346
BDMAP_O0000461,92.62751936912537,29.26290767681689
BDMAP_O0000001,91.72517657279968,27.732681448407575
