case_name,ssim_3d,psnr_3d
BDMAP_O0000036,96.11393809318542,31.076814941667838
BDMAP_O0000021,95.88722586631775,33.20656509446946
BDMAP_O0000065,95.20674347877502,29.507314543181682
BDMAP_O0000029,94.18036341667175,29.578198533416106
BDMAP_O0000096,94.35920119285583,32.068233127848096
BDMAP_O0000049,94.56601142883301,29.389892097819285
BDMAP_O0000016,92.46190190315247,28.759187899261107
BDMAP_O0000064,94.36271786689758,29.51133408272377
BDMAP_O0000012,93.9052164554596,30.378818388160667
BDMAP_O0000258,92.79623627662659,30.223796576050717
BDMAP_O0000038,94.63961720466614,31.638104785862918
BDMAP_O0000046,93.93113255500793,29.619798694297298
BDMAP_O0000028,95.01900672912598,32.166688361587546
BDMAP_O0000048,95.35024762153625,32.81664119464342
BDMAP_O0000017,94.3033516407013,29.349074277287702
BDMAP_O0000018,93.96648406982422,31.5143202146494
BDMAP_O0000014,93.31644177436829,31.027231615600463
BDMAP_O0000003,93.27632784843445,29.23814945830223
BDMAP_O0000031,94.08443570137024,30.459839426829948
BDMAP_O0000023,94.1594123840332,31.21973512635512
BDMAP_O0000041,92.00136065483093,29.597641117749962
BDMAP_O0000010,92.4318015575409,29.22961820222564
BDMAP_O0000050,95.47836184501648,31.13903271757208
BDMAP_O0000022,94.53698992729187,31.05723256349205
BDMAP_O0000011,93.33567023277283,30.81979715050189
BDMAP_O0000164,88.46204280853271,27.318526394341802
BDMAP_O0000005,92.01117157936096,29.379331691650776
BDMAP_O0000457,90.42494893074036,27.890743795237555
BDMAP_O0000030,93.43624711036682,29.326921365685696
BDMAP_O0000037,91.83264374732971,29.477819490560798
BDMAP_O0000032,91.7690098285675,29.134774480572116
BDMAP_O0000033,91.12268090248108,28.953619299089244
BDMAP_O0000035,93.96823048591614,28.761533488374607
BDMAP_O0000464,89.97299671173096,27.486509392385482
BDMAP_O0000058,90.13640284538269,29.469511147167044
BDMAP_O0000259,92.6210105419159,29.924094833668637
BDMAP_O0000465,89.95766043663025,27.87776850789949
BDMAP_O0000059,91.87672734260559,30.63126462552306
BDMAP_O0000039,91.7207419872284,28.791471833412427
BDMAP_O0000047,76.90527439117432,18.728552628748854
BDMAP_O0000034,93.23904514312744,29.176149619079318
BDMAP_O0000460,92.29053854942322,29.536822219920612
BDMAP_O0000043,91.54142737388611,28.530613167981524
BDMAP_O0000019,95.56265473365784,32.781452395363814
BDMAP_O0000458,90.43176770210266,27.9230957701768
BDMAP_O0000020,90.99615216255188,29.370411414375255
BDMAP_O0000006,91.95305705070496,28.789173393676705
BDMAP_O0000004,91.05034470558167,29.2587191375439
BDMAP_O0000054,89.69022631645203,27.93989270469121
BDMAP_O0000007,93.64336133003235,30.840575326887958
BDMAP_O0000008,93.55332255363464,29.354781737825416
BDMAP_O0000009,92.15450286865234,29.406574088111732
BDMAP_O0000055,91.28302931785583,29.056598449603822
BDMAP_O0000045,86.59513592720032,26.863866174576803
BDMAP_O0000461,91.85037016868591,29.31315181554274
BDMAP_O0000044,88.94822001457214,26.33819159143615
BDMAP_O0000463,92.8292453289032,31.013085687784134
BDMAP_O0000165,89.57040905952454,27.547011025138364
BDMAP_O0000001,90.0117576122284,27.63538156191512
BDMAP_O0000002,90.60185551643372,28.180747070651172
BDMAP_O0000462,91.57341122627258,29.70202486091218
