case_name,ssim_3d,psnr_3d
BDMAP_O0000016,93.45684051513672,29.6104711154595
BDMAP_O0000049,91.68386459350586,28.450351432497428
BDMAP_O0000029,95.1953113079071,30.445200942628468
BDMAP_O0000021,94.74911689758301,31.898039734895384
BDMAP_O0000096,94.72232460975647,31.204257837375557
BDMAP_O0000046,93.18065643310547,29.2577964932182
BDMAP_O0000038,93.22759509086609,30.428129753634735
BDMAP_O0000012,94.43528056144714,31.552613348068817
BDMAP_O0000258,94.54163908958435,31.316543712503528
BDMAP_O0000048,92.28682518005371,29.073818580608698
BDMAP_O0000014,92.75419116020203,30.12916147920604
BDMAP_O0000003,94.36301589012146,29.595357489199642
BDMAP_O0000018,91.25874638557434,30.71938186050781
BDMAP_O0000023,94.26527619361877,30.479315335356375
BDMAP_O0000022,94.44079995155334,31.313488688807546
BDMAP_O0000050,92.21909642219543,29.57814820049964
BDMAP_O0000005,92.46932864189148,30.31537341892578
BDMAP_O0000033,91.83792471885681,29.857624188324788
BDMAP_O0000037,93.46811175346375,30.821246644489257
BDMAP_O0000259,92.68638491630554,29.108971455928977
BDMAP_O0000058,93.18293929100037,31.247862761880665
BDMAP_O0000059,93.453449010849,30.414905292960015
BDMAP_O0000043,92.58587956428528,29.53654796232129
BDMAP_O0000465,92.5643265247345,29.50491252988072
BDMAP_O0000047,72.30992317199707,18.56150996988
BDMAP_O0000039,93.22312474250793,29.165012713192166
BDMAP_O0000019,94.34979557991028,29.782921369389136
BDMAP_O0000460,93.56932640075684,31.143714989092555
BDMAP_O0000004,92.20407605171204,30.623505897274534
BDMAP_O0000020,91.50757789611816,30.0923400627663
BDMAP_O0000008,94.21854019165039,30.239120400017416
BDMAP_O0000045,89.15972709655762,27.637187756922074
BDMAP_O0000044,89.49177861213684,25.93829326180419
BDMAP_O0000461,92.54078269004822,29.88294001225638
BDMAP_O0000002,91.43421053886414,29.530046952182886
BDMAP_O0000001,92.39286780357361,30.315221673046338
