case_name,ssim_3d,psnr_3d
BDMAP_O0000259,82.23295211791992,24.560695812916016
BDMAP_O0000258,85.35788059234619,26.20159873199286
BDMAP_O0000029,86.03183627128601,25.3031649602418
BDMAP_O0000049,79.3731689453125,24.90578706209286
BDMAP_O0000018,84.8447322845459,25.906528944266046
BDMAP_O0000023,79.2529284954071,23.989491124312163
BDMAP_O0000003,84.53478813171387,25.003894376167885
BDMAP_O0000046,82.57723450660706,23.284333243878876
BDMAP_O0000048,76.20594501495361,23.65516553531348
BDMAP_O0000014,86.00401878356934,26.144973034665465
BDMAP_O0000019,80.68159222602844,24.303745680853144
BDMAP_O0000021,78.65192294120789,24.231728818104557
BDMAP_O0000058,82.00709819793701,24.78135314858697
BDMAP_O0000059,83.23883414268494,24.511203808841444
BDMAP_O0000096,82.12057948112488,23.84122077149621
BDMAP_O0000033,77.65739560127258,22.820444534430884
BDMAP_O0000016,81.43696784973145,24.155968611133382
BDMAP_O0000022,79.39805388450623,23.433006980445903
BDMAP_O0000004,77.41557955741882,22.894510080117612
BDMAP_O0000050,77.71992683410645,23.890775132287878
BDMAP_O0000038,79.81101870536804,23.74211427417982
BDMAP_O0000012,78.77752184867859,23.812917182486032
BDMAP_O0000005,80.14004826545715,23.369114743679237
BDMAP_O0000045,79.66718077659607,23.555924689565067
BDMAP_O0000043,83.14206600189209,23.718940097551563
BDMAP_O0000037,84.2294454574585,25.471776114839987
BDMAP_O0000039,84.11638140678406,24.786747187483936
BDMAP_O0000044,80.50732612609863,22.56431687188674
BDMAP_O0000047,75.57217478752136,18.58973935331959
BDMAP_O0000465,82.39314556121826,23.31479153308562
BDMAP_O0000020,78.3492386341095,22.70544561558783
BDMAP_O0000460,82.95339941978455,23.966384533303746
BDMAP_O0000461,81.30099773406982,22.93593567465098
BDMAP_O0000001,79.6664297580719,22.874919304484052
BDMAP_O0000008,87.14377880096436,24.92657538033967
BDMAP_O0000002,78.80410552024841,22.576962102959293
