case_name,ssim_3d,psnr_3d
BDMAP_O0000032,80.02517819404602,23.111686808100217
BDMAP_O0000258,83.66127610206604,25.70574665940874
BDMAP_O0000065,86.83140873908997,25.78184176640811
BDMAP_O0000030,84.085613489151,24.788741943454195
BDMAP_O0000049,86.41839027404785,25.1556151027601
BDMAP_O0000021,83.41758847236633,25.614738768937016
BDMAP_O0000058,85.01309752464294,25.000745319485993
BDMAP_O0000017,84.90862250328064,25.08055408703981
BDMAP_O0000035,82.69423842430115,23.793859094847573
BDMAP_O0000011,85.4066550731659,26.103311610334153
BDMAP_O0000050,85.97777485847473,25.087752784366625
BDMAP_O0000022,79.44345474243164,23.45286386189816
BDMAP_O0000014,89.05113339424133,27.64152055437407
BDMAP_O0000041,86.31036281585693,25.368644892282404
BDMAP_O0000010,78.87547612190247,22.694161213804467
BDMAP_O0000043,82.72337317466736,23.462602825481085
BDMAP_O0000016,80.58329224586487,24.221133243243173
BDMAP_O0000259,82.99509882926941,25.652303406665858
BDMAP_O0000031,83.80147814750671,25.527641999976666
BDMAP_O0000096,83.819979429245,24.514413513537324
BDMAP_O0000033,76.64601802825928,22.70367708113897
BDMAP_O0000004,80.17969727516174,22.848845701061485
BDMAP_O0000023,81.81071877479553,24.587775879076613
BDMAP_O0000055,78.94494533538818,22.868670434839572
BDMAP_O0000036,87.26794719696045,26.23909571166417
BDMAP_O0000012,81.50591254234314,23.832798674222513
BDMAP_O0000045,76.1705219745636,22.579919824546977
BDMAP_O0000018,90.22701382637024,28.177431946713423
BDMAP_O0000064,84.44132208824158,25.43930372003424
BDMAP_O0000034,81.9507896900177,24.302150990781172
BDMAP_O0000046,85.03847122192383,24.480897375959675
BDMAP_O0000003,81.34459853172302,24.60460636347197
BDMAP_O0000028,85.51724553108215,26.411016743598523
BDMAP_O0000464,79.79770302772522,22.381167557891267
BDMAP_O0000019,84.70857739448547,25.568718142894483
BDMAP_O0000460,82.08696842193604,23.61593148783622
BDMAP_O0000044,81.70134425163269,23.911101091837445
BDMAP_O0000020,76.9597053527832,22.45596573633403
BDMAP_O0000039,82.74176716804504,24.06226024986026
BDMAP_O0000009,82.41100907325745,24.23682811811407
BDMAP_O0000029,84.23817157745361,25.008366444276007
BDMAP_O0000048,81.46266341209412,24.964787785930813
BDMAP_O0000059,85.67795753479004,25.105005407945992
BDMAP_O0000457,82.59446024894714,22.76039716399413
BDMAP_O0000038,84.8034679889679,24.73680653779195
BDMAP_O0000007,83.47648978233337,24.38709833194425
BDMAP_O0000458,81.85017704963684,23.171255424698444
BDMAP_O0000008,87.05134391784668,25.649201885490797
BDMAP_O0000006,83.5141122341156,24.977615741839546
BDMAP_O0000005,79.9281895160675,22.791254274784848
BDMAP_O0000164,78.33910584449768,22.671175499937647
BDMAP_O0000047,81.06372356414795,19.07306802053901
BDMAP_O0000465,81.7631185054779,22.95523298991379
BDMAP_O0000461,82.87780284881592,23.856023200693212
BDMAP_O0000037,84.01220440864563,25.26134665651325
BDMAP_O0000001,79.3178379535675,22.85438312931631
BDMAP_O0000165,80.08405566215515,23.367140301645474
BDMAP_O0000002,79.87244725227356,22.65456780001157
BDMAP_O0000463,81.97315335273743,23.443501462497096
BDMAP_O0000054,77.12945342063904,21.99485800256475
BDMAP_O0000462,82.56705403327942,23.058074926120845
