case_name,ssim_3d,psnr_3d
BDMAP_O0000058,95.40481567382812,33.3851459742962
BDMAP_O0000059,95.2045738697052,32.39359817373209
BDMAP_O0000259,94.77030634880066,30.397096507804772
BDMAP_O0000258,95.89959979057312,31.96049077714708
BDMAP_O0000016,94.73125338554382,30.19319899874891
BDMAP_O0000021,96.64494395256042,33.17182792299933
BDMAP_O0000003,95.61232924461365,30.464995083252976
BDMAP_O0000023,95.49404978752136,30.929427731034913
BDMAP_O0000096,96.93920612335205,33.04291620168355
BDMAP_O0000046,94.10151839256287,29.849090868175953
BDMAP_O0000019,96.3999092578888,30.80791846754455
BDMAP_O0000012,96.00262641906738,33.047948063817685
BDMAP_O0000022,96.37574553489685,32.85307897369148
BDMAP_O0000029,96.26992344856262,31.427377546852327
BDMAP_O0000018,92.10379719734192,31.013637256519672
BDMAP_O0000033,93.87633204460144,31.147997676340182
BDMAP_O0000014,94.3841278553009,31.77123864142757
BDMAP_O0000049,93.42725276947021,29.640479250004915
BDMAP_O0000050,93.36147904396057,30.81041345167902
BDMAP_O0000004,95.00476717948914,32.38839401480973
BDMAP_O0000038,95.91410160064697,32.99568655343491
BDMAP_O0000048,94.79172825813293,31.303214744967875
BDMAP_O0000043,94.60325241088867,30.120951133938206
BDMAP_O0000037,95.03276348114014,32.81123656181424
BDMAP_O0000005,94.83080506324768,31.84811212103235
BDMAP_O0000020,92.94564723968506,31.313782274382156
BDMAP_O0000045,90.80165028572083,28.925650198627025
BDMAP_O0000465,94.84729766845703,31.04236740861775
BDMAP_O0000460,95.20252346992493,32.45224941921173
BDMAP_O0000039,95.11415362358093,31.519136364860188
BDMAP_O0000047,72.5339412689209,19.490479102469237
BDMAP_O0000044,91.01880192756653,26.42443217125612
BDMAP_O0000008,95.02777457237244,30.34464538580577
BDMAP_O0000461,94.55726742744446,31.43594861511351
BDMAP_O0000002,93.68667602539062,31.134161976647693
BDMAP_O0000001,94.06687617301941,31.35013207256388
