case_name,ssim_3d,psnr_3d
BDMAP_O0000032,93.04383397102356,29.29532650394465
BDMAP_O0000030,95.3707218170166,30.12948457704589
BDMAP_O0000065,95.73957324028015,30.171237826394904
BDMAP_O0000034,94.14503574371338,29.739420186388084
BDMAP_O0000021,96.24595046043396,32.72462305761748
BDMAP_O0000023,93.63715052604675,30.561410544345993
BDMAP_O0000012,94.59671974182129,30.426060961166268
BDMAP_O0000059,93.54446530342102,30.825327348763253
BDMAP_O0000046,93.94885897636414,29.365403655706707
BDMAP_O0000035,93.80719065666199,28.63933929545886
BDMAP_O0000011,93.11278462409973,30.387250289165813
BDMAP_O0000050,96.08967900276184,31.606539514239998
BDMAP_O0000022,94.74453330039978,31.076261970945907
BDMAP_O0000033,92.19085574150085,29.11593170409582
BDMAP_O0000018,93.02467703819275,30.379010297062806
BDMAP_O0000041,93.34258437156677,29.55007188602227
BDMAP_O0000004,92.89786219596863,29.168703625946367
BDMAP_O0000028,95.1816737651825,31.836827830902482
BDMAP_O0000016,93.81802678108215,29.487489288785056
BDMAP_O0000043,91.81155562400818,27.992824975520143
BDMAP_O0000014,92.91682243347168,30.355712499124323
BDMAP_O0000010,93.73309016227722,29.70044832275856
BDMAP_O0000259,93.92681121826172,30.52976555748472
BDMAP_O0000006,93.10741424560547,29.482751598024674
BDMAP_O0000017,94.56836581230164,29.82214415053204
BDMAP_O0000019,95.03762125968933,31.33603238049577
BDMAP_O0000096,94.81931328773499,29.67773532932012
BDMAP_O0000036,96.14126682281494,31.460726739173825
BDMAP_O0000164,91.31624102592468,27.94522595054041
BDMAP_O0000258,93.87025833129883,30.819899946252384
BDMAP_O0000009,93.15433502197266,29.816648309658795
BDMAP_O0000038,95.88609337806702,31.702575222246338
BDMAP_O0000049,95.25992274284363,30.190448602213763
BDMAP_O0000031,94.65586543083191,30.63913612592723
BDMAP_O0000029,95.20344138145447,30.37685804929515
BDMAP_O0000465,92.57858395576477,28.51513551980473
BDMAP_O0000044,90.76359868049622,27.37335728694959
BDMAP_O0000020,91.10302329063416,29.339155035913876
BDMAP_O0000457,90.5721664428711,25.37564788727959
BDMAP_O0000064,96.03764414787292,30.266543915537834
BDMAP_O0000055,93.89540553092957,29.847791624102452
BDMAP_O0000058,93.646639585495,31.120644525260218
BDMAP_O0000045,88.67965340614319,27.46242845995649
BDMAP_O0000048,95.76489329338074,32.93922871802056
BDMAP_O0000039,92.51606464385986,29.079767951765913
BDMAP_O0000003,94.42475438117981,30.24116065230677
BDMAP_O0000047,86.14024519920349,20.08887216546035
BDMAP_O0000005,92.96063780784607,29.30330288437154
BDMAP_O0000007,93.2789146900177,30.03974749007165
BDMAP_O0000008,93.3922290802002,29.08155817489163
BDMAP_O0000464,91.62495732307434,26.778035146644655
BDMAP_O0000165,91.01938605308533,27.89220794341219
BDMAP_O0000037,92.82286763191223,29.895263863478508
BDMAP_O0000458,93.35448145866394,28.873569110114907
BDMAP_O0000460,92.87078976631165,29.141984792969016
BDMAP_O0000002,92.08769798278809,28.507521705831067
BDMAP_O0000054,91.54305458068848,28.306921282140507
BDMAP_O0000461,92.38746166229248,28.956377145099733
BDMAP_O0000463,92.35286116600037,29.771817858671305
BDMAP_O0000462,91.65676236152649,28.703880814571278
BDMAP_O0000001,91.61482453346252,27.61729383561727
