case_name,dice_12,dice_10,dice_11,dice_13,dice_17,nsd_8,nsd_2,nsd_3,nsd_5,nsd_7,cldice_1,cldice_9,cldice_15,cldice_20,cldice_21,nsd_24,nsd_25,nsd_23
BDMAP_O0000049,73.90128596267739,81.05155462588117,85.00846682061305,1.5073971750346702,87.89603468918716,51.842009991566144,0.0,52.34180844283806,0.0,27.4126423581831,83.22981366459626,64.96815286624205,nan,0.0,3.773584905660378,41.574377156696215,21.92334831110891,18.547764244512237
BDMAP_O0000258,72.0074529119738,96.0980538612595,93.0582839230246,58.92687516564745,95.90323517737097,30.447423703843253,67.02048007799951,71.03793682014873,54.04494090614102,69.8080912507934,95.55555555555556,93.71428571428571,9.09090909090909,71.95121951219512,67.41573033707866,nan,9.794504032311005,2.7962703719700888
BDMAP_O0000021,88.69025622433055,83.28091679183599,79.69683377646007,46.49243555776398,93.64788413435585,40.41197281161531,39.38342039327614,77.09908894057588,44.848956614066964,60.58378608561554,89.29159802306425,92.99052501947776,45.88235294117647,nan,61.6822429906542,0.0,18.28643692966007,38.202312276810325
BDMAP_O0000058,87.4804788012144,96.77836936829986,94.04811712886581,60.77626999565542,84.27842359964941,33.77717612860064,12.24465356145532,13.385845827102322,70.51720303492624,83.0155225233017,100.0,98.8095238095238,68.53026698387524,nan,0.0,nan,0.0,1.7009474291407638
BDMAP_O0000003,73.75067712633783,85.62144054628212,85.44243405268476,58.4532286798933,63.87766707691609,37.86701668729007,70.5680499102985,21.83997866242803,42.026650974814956,76.94360742070158,78.30687830687832,86.14251906389691,66.43751534495458,62.577684291041216,71.05860972285325,nan,nan,18.436119682469926
BDMAP_O0000259,77.92354007781836,94.5479755108493,89.83990370105573,55.574073530283265,90.85352121001925,14.203180651610815,62.48173533189838,65.49705614039536,29.812845815231427,66.59520907235886,99.46524064171123,100.0,58.03571428571428,65.49707602339181,41.01198402130492,nan,17.81262063724188,8.600587157912438
BDMAP_O0000016,72.64126826588378,90.06846340371871,94.16810251865864,43.49084676082218,74.33762332425967,64.77883567722384,56.908839195224736,73.5162503832554,45.30167280388626,41.30737658871363,76.88634192932187,80.0,nan,56.03143418467583,71.69811320754718,nan,0.0,54.262558498679695
BDMAP_O0000023,58.74636712946716,82.19963337397567,90.34455668081202,0.0,81.3924680790196,0.0,26.491337631057455,56.97818993402467,15.644909591585321,22.39423607639951,98.22485207100593,77.01652775815793,8.695652173913045,nan,nan,0.0,15.022886706531022,17.878358462904558
BDMAP_O0000059,88.06383862110147,89.71063376807386,96.45050080114822,60.218729907090975,89.89720875709124,56.097541977356855,36.886931532618256,44.885710561470376,55.091664532029206,86.4012244980956,100.0,92.3076923076923,86.74698795180723,70.5867587072482,85.17143481109413,nan,4.707238837065769,0.0
BDMAP_O0000096,94.94076306246971,97.01996421615073,97.40320290937142,66.06753282763196,95.67598906765872,90.21635194095467,72.67707078943107,64.24898683104571,74.90546294096517,66.80401504400017,88.13559322033898,100.0,80.20999468367889,79.63607171527964,nan,nan,nan,46.9289589577196
BDMAP_O0000012,87.49361641742475,87.68063330929117,93.44036993994914,40.99200906164803,95.82907393169087,0.0,54.62661320849248,42.13005535234895,28.6760222353745,32.640816605684655,89.69640754878527,46.18614415675298,1.4184397163120568,0.0,nan,nan,0.0,11.043061705205401
BDMAP_O0000018,55.719214340944404,58.832625826992604,54.29931334476813,25.854915070912952,64.12645485809884,46.831532463468626,0.0,1.3756613321285132,23.6652404679075,27.9832102657591,65.9090909090909,51.70068027210885,nan,5.940594059405941,0.0,nan,nan,0.0
BDMAP_O0000019,81.2696740215575,88.30263773387477,82.46129039930473,47.52745522352744,77.34973599951685,20.947408597252668,0.0,78.34997096537548,61.06422141092389,55.439245257764156,86.74033149171271,98.53658536585365,38.56955248004849,nan,55.27600450619602,34.70765300187304,26.664468910764093,0.0
