case_name,ssim_3d,psnr_3d
BDMAP_O0000058,84.49097275733948,25.22463684638527
BDMAP_O0000259,77.86709666252136,22.219569100805565
BDMAP_O0000258,87.03071475028992,26.33381769586771
BDMAP_O0000021,80.6448221206665,24.564961849981955
BDMAP_O0000029,84.6348226070404,23.192142610314185
BDMAP_O0000016,81.62099719047546,23.473912582622415
BDMAP_O0000003,85.2072536945343,24.740898827033632
BDMAP_O0000096,82.60744214057922,23.884362427140967
BDMAP_O0000059,75.27506947517395,22.90869237585314
BDMAP_O0000049,85.06559729576111,24.867723364141277
BDMAP_O0000048,78.84377837181091,24.129063871258705
BDMAP_O0000014,84.43911671638489,25.27789362484244
BDMAP_O0000019,82.78295397758484,24.867313638374995
BDMAP_O0000033,76.19364261627197,21.853883450685974
BDMAP_O0000018,82.59393572807312,25.32967230340904
BDMAP_O0000046,79.74002957344055,21.045194893199366
BDMAP_O0000004,76.55249238014221,22.096980311448053
BDMAP_O0000043,82.72317051887512,23.037402504428158
BDMAP_O0000022,81.4654529094696,23.619254645923064
BDMAP_O0000023,84.51583981513977,25.727711170308126
BDMAP_O0000050,82.67061114311218,24.459284903671623
BDMAP_O0000012,79.98016476631165,23.154626739108167
BDMAP_O0000038,83.27687382698059,24.05992989450297
BDMAP_O0000045,74.07584190368652,19.671201817011518
BDMAP_O0000005,77.8363049030304,22.015295069441805
BDMAP_O0000039,86.29336953163147,24.90040098705425
BDMAP_O0000037,82.58160948753357,23.71522865185771
BDMAP_O0000465,78.82948517799377,20.621285066707962
BDMAP_O0000460,80.30585646629333,21.627480906926515
BDMAP_O0000047,76.07617378234863,19.459011763242348
BDMAP_O0000044,77.95447707176208,21.588159528963583
BDMAP_O0000020,76.2176513671875,21.42661688986403
BDMAP_O0000008,87.4613344669342,25.574214035303683
BDMAP_O0000461,78.60693335533142,20.64589583265427
BDMAP_O0000001,72.65668511390686,19.378990370682065
BDMAP_O0000002,78.50422263145447,21.63221273260945
