case_name,ssim_3d,psnr_3d
BDMAP_O0000259,90.59249758720398,27.60981775949157
BDMAP_O0000258,91.86994433403015,28.896212893793734
BDMAP_O0000016,84.4325304031372,23.525297974572318
BDMAP_O0000021,93.23499798774719,29.747976640289863
BDMAP_O0000003,90.83754420280457,27.21253859093084
BDMAP_O0000018,86.70981526374817,28.805833279980284
BDMAP_O0000019,89.97589945793152,26.944277095615917
BDMAP_O0000046,88.75892758369446,25.886569843776975
BDMAP_O0000012,89.09936547279358,26.73338773442605
BDMAP_O0000038,89.40916657447815,27.388974289277694
BDMAP_O0000014,89.6277904510498,29.28834623539364
BDMAP_O0000096,91.54693484306335,28.222461849799704
BDMAP_O0000022,91.7745590209961,29.000785639778073
BDMAP_O0000058,90.91522097587585,29.099592693812546
BDMAP_O0000059,89.72161412239075,27.911131741601622
BDMAP_O0000048,89.06400799751282,26.10867579848613
BDMAP_O0000049,87.6352846622467,26.170461789970133
BDMAP_O0000050,85.7107162475586,25.50122867466559
BDMAP_O0000029,80.60747981071472,22.487400264234033
BDMAP_O0000004,88.37919235229492,27.489390744910416
BDMAP_O0000023,88.70627284049988,26.34917884728266
BDMAP_O0000037,92.29400753974915,29.6718772142033
BDMAP_O0000460,90.85825085639954,28.676354249287762
BDMAP_O0000043,90.9338653087616,28.155218346954225
BDMAP_O0000465,90.96798300743103,28.44935437386162
BDMAP_O0000033,88.22565078735352,27.63148101815416
BDMAP_O0000045,87.49414086341858,27.04095096373871
BDMAP_O0000039,92.10677146911621,28.76946040099518
BDMAP_O0000047,73.86409640312195,19.02029548001511
BDMAP_O0000005,89.36378359794617,28.120971754024993
BDMAP_O0000020,87.49334216117859,26.632142096013787
BDMAP_O0000044,87.45325207710266,25.567549423469963
BDMAP_O0000008,92.52825379371643,29.74591717800837
BDMAP_O0000461,89.71385955810547,27.716198336061684
BDMAP_O0000001,90.1233434677124,29.01339401307314
BDMAP_O0000002,88.86549472808838,27.956166119085736
