case_name,ssim_3d,psnr_3d
BDMAP_O0000064,94.78850364685059,29.694689832239728
BDMAP_O0000032,92.37306714057922,29.580093290034668
BDMAP_O0000049,95.31682133674622,30.61383833281276
BDMAP_O0000030,94.3057119846344,29.936218737092275
BDMAP_O0000058,94.04227137565613,32.341221417061895
BDMAP_O0000034,92.61081218719482,29.09409663226489
BDMAP_O0000046,93.43364834785461,29.474207216018904
BDMAP_O0000012,93.92635822296143,30.631484270390295
BDMAP_O0000017,93.74485611915588,29.651093430717577
BDMAP_O0000014,93.99002194404602,31.193398242453043
BDMAP_O0000011,93.32919120788574,30.736763659941474
BDMAP_O0000003,93.23537945747375,29.906882491641795
BDMAP_O0000022,93.80900859832764,31.011696034754014
BDMAP_O0000041,92.2991931438446,29.36441976455276
BDMAP_O0000043,91.88666939735413,28.748174432997935
BDMAP_O0000096,94.57364678382874,31.49575102085199
BDMAP_O0000033,90.2621328830719,28.890930417478987
BDMAP_O0000048,94.19541358947754,32.36374095836033
BDMAP_O0000038,95.941162109375,32.85240078220386
BDMAP_O0000055,91.79866909980774,29.154626296851575
BDMAP_O0000029,94.35641169548035,30.157486490827683
BDMAP_O0000039,91.7417824268341,29.051298522066062
BDMAP_O0000018,93.66169571876526,31.219635825011956
BDMAP_O0000010,91.65578484535217,29.314755201389797
BDMAP_O0000023,92.19460487365723,30.005583433754424
BDMAP_O0000036,95.83213925361633,31.17956114546744
BDMAP_O0000037,91.56621098518372,29.5783263277821
BDMAP_O0000016,93.09125542640686,29.639655546531465
BDMAP_O0000457,90.52020907402039,27.993891503196288
BDMAP_O0000464,90.02501964569092,27.559952566272816
BDMAP_O0000028,94.34897899627686,31.852769682778987
BDMAP_O0000258,93.58204007148743,30.41262932104912
BDMAP_O0000460,91.55428409576416,29.397411816247807
BDMAP_O0000009,91.9394314289093,29.9822450899631
BDMAP_O0000020,90.81447720527649,29.562093112890576
BDMAP_O0000044,89.76715207099915,27.208725397001523
BDMAP_O0000035,92.42132306098938,28.62607042977421
BDMAP_O0000259,93.0133581161499,30.4528042186557
BDMAP_O0000059,94.27756667137146,32.23333667582698
BDMAP_O0000065,94.30509209632874,29.62373540096379
BDMAP_O0000019,95.12760043144226,32.414370400412466
BDMAP_O0000050,95.52767872810364,31.908517984528793
BDMAP_O0000031,93.19470524787903,30.431058731891426
BDMAP_O0000047,78.95703911781311,19.24841431999966
BDMAP_O0000021,95.40093541145325,32.917311992558886
BDMAP_O0000458,89.98972773551941,28.016985342538774
BDMAP_O0000004,92.0236587524414,29.43284119152063
BDMAP_O0000465,90.96459746360779,28.256667772487845
BDMAP_O0000164,90.14704823493958,27.899330707473894
BDMAP_O0000006,92.03345775604248,29.44856492283931
BDMAP_O0000165,89.4735038280487,27.726831398122545
BDMAP_O0000045,87.41407990455627,27.323768856571885
BDMAP_O0000005,92.16746687889099,29.58479295041887
BDMAP_O0000461,91.13790988922119,29.0661571277705
BDMAP_O0000007,92.63351559638977,29.991940917372965
BDMAP_O0000463,90.85447192192078,29.66564375607854
BDMAP_O0000001,90.59143662452698,28.017674574794142
BDMAP_O0000008,93.36170554161072,29.54075734456896
BDMAP_O0000462,89.19775485992432,28.482554822057907
BDMAP_O0000002,90.44053554534912,28.501284928071556
BDMAP_O0000054,88.89262676239014,28.153801737042667
